;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
№ строки;Наименование показателей;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Всего (сумма граф 9–11);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них лица с ограни- ченными возможностя- ми здоровья;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них из графы 4 инвалиды;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них из графы 4 дети-инвалиды;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них инвалиды (кроме учтенных в графе 5);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них дети-инвалиды (кроме учтенных в графе 6);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались очно;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались очно-заочно;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались заочно;Классы для обучающихся с ограниченными возможностями здоровья Всего;Классы для обучающихся с ограниченными возможностями здоровья из них лица с ограни- ченными возможностя- ми здоровья;Классы для обучающихся с ограниченными возможностями здоровья из них из графы 13 инвалиды;Классы для обучающихся с ограниченными возможностями здоровья из них из графы 13 дети-инвалиды;Классы для обучающихся с ограниченными возможностями здоровья из них инвалиды (кроме учтенных в графе 14);Классы для обучающихся с ограниченными возможностями здоровья из них дети-инвалиды (кроме учтенных в графе 15);Итого по всем классам (сумма граф 3, 12);Кроме того, численность экстернов;из них лица с ограни- ченными возможностя- ми здоровья;из них из графы 20 инвалиды;из них из графы 20 дети-инвалиды;из них инвалиды (кроме учтенных в графе 21);из них дети-инвалиды (кроме учтенных в графе 22)
1;Численность обучающихся (гр. 3–18) и экстернов (гр. 19–24), допущенных к ГИА по образовательным программам основного общего образования (сумма строк 02, 04, 05);13809;107;6;22;10;126;13743;65;1;120;120;11;1;;;13929;34;;;;;2
2;в том числе:       получили аттестат об основном общем образовании;13757;103;6;22;10;126;13694;62;1;120;120;11;1;;;13877;34;;;;;2
3;из них (из строки 02) продолжили обучение по образовательной          программе среднего общего образования в данной организации;5010;15;2;8;1;42;5007;3;;;;;;;;5010;1;;;;;
4;получили на ГИА неудовлетворительные результаты;45;;;;;;42;3;;;;;;;;45;;;;;;
5;не участвовали в ГИА;7;4;;;;;7;;;;;;;;;7;;;;;;
6;Из строки 02 получили аттестат об основном общем образовании:    с отличием;1024;1;;1;;13;1024;;;1;1;1;;;;1025;1;;;;;
7;в IV квартале прошлого года;595;2;;;;6;595;;;25;;;;;;620;;;;;;
8;после 1 сентября текущего года;350;;;;;;350;;;;;;;;;350;5;;;;;
9;Численность обучающихся (графы 3–18) и экстернов (графы 19–24), допущенных к ГИА по образовательным программам среднего общего образования (сумма строк 10–12);5097;20;2;15;9;37;5075;22;;1;1;;1;;;5098;22;1;;1;;
10;в том числе:       получили аттестат о среднем общем образовании;5073;19;2;14;9;36;5052;21;;1;1;;1;;;5074;18;1;;1;;
11;получили на ГИА неудовлетворительные результаты;21;1;;1;;1;20;1;;;;;;;;21;4;;;;;
12;не участвовали в ГИА;3;;;;;;3;;;;;;;;;3;;;;;;
13;Из строки 10 получили аттестат о среднем общем образовании:    с отличием и медаль «За особые успехи в учении»;1229;3;;2;;8;1229;;;;;;;;;1229;2;;;;;
14;в IV квартале прошлого года;227;2;;2;;1;227;;;;;;;;;227;;;;;;
15;после 1 сентября текущего года;9;;;;;;9;;;;;;;;;9;;;;;;
16;Из общей численности участвовавших в ГИА (из суммы строк 10 и 11)    участвовали в едином государственном экзамене (ЕГЭ)*;5011;18;2;13;5;33;4989;22;;;;;;;;5011;20;1;;1;;
17;участвовали в ЕГЭ по русскому языку (из строки 16);4903;17;2;12;5;32;4881;22;;;;;;;;4903;13;1;;1;;
18;из них сдали ЕГЭ;4676;16;2;11;5;29;4656;20;;;;;;;;4676;13;1;;1;;
19;участвовали в ЕГЭ по математике (из строки 16);4900;17;2;12;5;32;4878;22;;;;;;;;4900;20;1;;1;;
20;из них сдали ЕГЭ;4610;16;2;11;5;28;4590;20;;;;;;;;4610;16;1;;1;;
21;участвовали в ГИА в иной (кроме ЕГЭ) форме*;83;2;;2;4;4;83;;;1;1;;1;;;84;2;;;;;
22;Выпущено лиц, не получивших основного общего и среднего общего образования, со свидетельством об обучении;45;22;;7;;1;45;;;12;12;;7;;;57;1;;;;;
23;"Справочно. Код по ОКЕИ: человек – 792  Из численности обучавшихся во всех классах, получивших аттестат о сред-нем общем образовании с отличием и медаль «За особые успехи в учении» (из строки 13 графы 18):    получили аттестат красного цвета и медаль ""За особые успехи    в учении"" I степени";795;;;;;;;;;;;;;;;;;;;;;
24;"получили аттестат сине-голубого цвета и медаль ""За особые успехи    в учении"" II степени";434;;;;;;;;;;;;;;;;;;;;;
25;"Из численности обучавшихся экстернов, получивших аттестат о среднем общем образовании с отличием и медаль «За особые успехи в учении» (из строки 13 графы 19):    получили аттестат красного цвета и медаль ""За особые успехи    в учении"" I степени";2;;;;;;;;;;;;;;;;;;;;;
26;"получили аттестат сине-голубого цвета и медаль ""За особые успехи    в учении"" II степени";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;;;;;;;;;;;;;;;;;
