;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);10684;3244;5344;1808;58;55;2;173;117;10621;61;2
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;128;62;59;5;;2;;;;128;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;;;;;;;;;;;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;16;14;2;;;;;;;16;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;8392;3115;4635;481;58;11;2;90;35;8392;;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;281;82;143;22;2;4;;28;;281;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;84;41;40;3;;;;;;84;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;727;;291;425;;11;;;8;727;;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;606;;126;450;;30;;;2;589;17;
10;в связи с переходом на семейное образование и самообразование;127;47;71;7;;1;;1;;123;3;1
11;по болезни;4;2;;2;;;;;1;3;1;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;14;;7;7;;;;;3;14;;
13;выбыло по другим причинам;686;18;155;431;;;;82;68;645;40;1
