;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);23392;1670;946;2007;2129;2134;14506;14517;1680;876;1710;1352;1106;7793;8875
2;в том числе:       руководящие работники – всего;1749;6;24;81;135;171;1332;1515;46;46;131;141;126;1025;234
3;из них:             директор;442;2;3;13;28;26;370;437;8;5;23;40;31;330;5
4;заместители директора;1272;3;21;65;100;142;941;1052;35;40;104;94;92;687;220
5;руководитель филиала;17;1;;2;5;1;8;16;2;1;3;3;3;4;1
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);12860;1309;646;1252;1225;1043;7385;12646;1568;803;1540;1183;946;6606;214
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);9897;1010;477;904;856;721;5929;9751;1106;559;1059;844;677;5506;146
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2929;279;139;262;237;174;1838;2901;303;156;295;228;164;1755;28
9;русского языка и литературы;1217;115;59;88;87;75;793;1198;111;74;104;86;68;755;19
10;языка народов России и литературы;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;658;92;38;82;58;45;343;642;100;45;87;52;42;316;16
12;информатики;222;20;10;30;35;36;91;218;29;15;31;41;30;72;4
13;физики;313;21;11;24;18;15;224;311;28;12;25;16;19;211;2
14;математики;951;62;35;58;71;72;653;944;77;36;77;80;57;617;7
15;химии;263;17;8;21;22;17;178;261;18;12;27;19;14;171;2
16;географии;245;19;4;17;20;24;161;244;25;10;26;17;24;142;1
17;биологии;304;34;16;27;21;20;186;299;36;15;29;25;21;173;5
18;иностранных языков;1129;184;83;148;144;127;443;1103;184;89;168;127;126;409;26
19;из них:                         английского языка;996;175;81;142;139;118;341;973;178;87;162;122;117;307;23
20;немецкого языка;89;8;2;4;5;4;66;86;5;2;4;5;4;66;3
21;французского языка;39;1;;1;;5;32;39;1;;1;;5;32;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;677;78;40;82;75;44;358;661;81;46;97;74;39;324;16
24;труда (технологии);391;29;12;22;24;26;278;382;35;22;39;32;31;223;9
25;музыки и пения;192;24;8;12;10;16;122;189;26;8;11;12;17;115;3
26;изобразительного искусства, черчения;127;11;5;12;10;10;79;124;15;7;12;9;11;70;3
27;основ безопасности и защиты Родины;163;10;4;10;12;15;112;160;16;7;20;14;9;94;3
28;основ духовно-нравственной культуры народов России;9;;1;;;1;7;9;1;1;1;;;6;
29;прочих предметов;107;15;4;9;12;4;63;105;21;4;10;12;5;53;2
30;учителя-логопеды;120;5;6;9;16;18;66;118;8;10;19;12;15;54;2
31;учителя-дефектологи;71;6;8;15;9;10;23;70;8;9;18;11;8;16;1
32;из них:                   олигофренопедагог;19;2;1;6;1;1;8;18;3;2;6;2;1;4;1
33;тифлопедагог;1;;;;;;1;1;;;;1;;;
34;сурдопедагог;1;;;;;;1;1;;;;;;1;
35;социальные педагоги;181;11;9;22;22;20;97;175;27;15;28;23;16;66;6
36;педагоги дополнительного образования;294;57;20;29;40;20;128;281;70;27;47;28;14;95;13
37;педагоги-психологи;302;36;24;55;47;43;97;292;51;32;69;41;34;65;10
38;воспитатели;1378;106;67;134;157;144;770;1362;183;96;196;157;131;599;16
39;мастера производственного обучения;5;1;;;;;4;5;1;;1;;;3;
40;тьюторы;75;10;7;10;13;4;31;74;19;10;9;13;3;20;1
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;103;17;12;24;23;12;15;102;23;19;31;12;6;11;1
42;другие;434;50;16;50;42;51;225;416;72;26;63;42;42;171;18
43;учебно-вспомогательный персонал;1675;97;62;171;177;207;961;189;45;18;19;11;12;84;1486
44;иной персонал;7108;258;214;503;592;713;4828;167;21;9;20;17;22;78;6941
45;из них:             ассистент (помощник);6;1;;;1;;4;;;;;;;;6
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;1128;81;59;121;155;133;579;1121;131;85;172;154;125;454;7
49;из них воспитатели;928;63;48;101;130;112;474;922;107;71;140;125;109;370;6
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;18;;2;2;2;;12;18;1;2;2;1;1;11;
51;из них учителя;12;;2;1;2;;7;12;1;2;1;1;1;6;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
