;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);1873;1253;756.5
2;в том числе:       руководящие работники – всего;24;17;9.8
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);1256;924;475.6
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);798;608;319.2
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;106;101;69.9
6;русского языка и литературы;43;41;18.1
7;языка народов России и литературы;;;
8;истории, экономики, права, обществознания;57;39;20.7
9;информатики;42;24;18.8
10;физики;60;37;20.1
11;математики;38;32;18.7
12;химии;46;42;16.3
13;географии;23;18;6.4
14;биологии;26;24;9.7
15;иностранных языков;64;57;22.9
16;из них:                      английского языка;58;49;19.9
17;немецкого языка;4;4;
18;французского языка;1;1;0.5
19;китайского языка;;;1
20;физической культуры;75;22;36.4
21;труда (технологии);34;14;17
22;музыки и пения;61;57;28.9
23;изобразительного искусства, черчения;17;15;5.5
24;основ безопасности и защиты Родины;17;3;7.2
25;основ духовно-нравственной культуры народов России;4;3;1.3
26;прочих предметов;85;79;22.3
27;учителя-логопеды;9;9;4
28;учителя-дефектологи;2;2;0.5
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;6;3;4.1
33;педагоги дополнительного образования;302;182;83.6
34;педагоги-психологи;34;33;13.7
35;воспитатели;42;41;26
36;мастера производственного обучения;;;
37;тьюторы;;;
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;11;11;3.5
39;другие;52;35;18.3
40;учебно-вспомогательный персонал;104;58;41.6
41;иной персонал;489;254;191.8
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;20;16;7.5
46;из них воспитатели;5;5;2
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;;;
48;из них учителя;;;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;33;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);74;;
53;из них женщин;61;;
54;в том числе:          врачи всех специальностей;13;;
55;медицинские сестры;61;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;407;;
