;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);36801.86;34729.23;31700.5;23475;2910;754;1182;2993;2867;23392;823
2;в том числе:       руководящие работники – всего;1901.1;1808.95;1767.2;1770;125;6;87;149;142;1749;71
3;из них:             директор;453;438;428;431;25;1;16;25;25;442;9
4;заместители директора;1397.85;1298.85;1232.6;1271;88;4;56;110;99;1272;59
5;руководитель филиала;20.75;16.75;7.25;16;2;;2;;;17;2
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);22381.34;21275.79;19129.33;12785;1657;271;960;1551;1483;12860;342
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);16416.34;15899.13;14504.07;9949;1133;182;642;1186;1140;9897;165
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;4100.18;4000.12;3779.44;2955;285;76;129;302;288;2929;23
9;русского языка и литературы;2095.44;2032.09;1843.23;1237;131;16;85;148;139;1217;19
10;языка народов России и литературы;3.93;3.93;3.93;1;;;;;;;
11;истории, экономики, права, обществознания;1060.66;1040.95;939.9;649;90;9;57;76;71;658;6
12;информатики;376.52;365.16;323.81;225;19;3;9;19;19;222;8
13;физики;499.81;488.01;435.9;325;33;5;19;43;41;313;8
14;математики;1725.04;1679.25;1530.73;953;97;6;70;98;96;951;29
15;химии;343.07;328.95;288.49;262;37;3;27;33;33;263;6
16;географии;441.06;428.61;391.15;245;19;1;13;26;26;245;7
17;биологии;487.26;477.15;428.82;303;33;2;22;35;31;304;6
18;иностранных языков;1680.87;1644.49;1507.8;1141;151;11;90;157;155;1129;16
19;из них:                         английского языка;1495.25;1460.56;1323.21;989;137;10;83;133;130;996;12
20;немецкого языка;94.74;90.16;88.61;90;6;;3;8;8;89;1
21;французского языка;46.25;45.56;43.2;42;1;;;5;5;39;
22;китайского языка;;;;;;;;;;;
23;физической культуры;1034.5;1016.82;922.23;686;92;23;48;98;96;677;8
24;труда (технологии);632.9;610.2;545.26;383;56;5;32;53;51;391;10
25;музыки и пения;322.54;311.5;265.51;202;20;10;5;30;30;192;11
26;изобразительного искусства, черчения;226.55;220.07;184.44;135;11;1;6;18;17;127;2
27;основ безопасности и защиты Родины;279.64;268.15;246.73;162;18;1;13;18;15;163;4
28;основ духовно-нравственной культуры народов России;60.14;57.9;51.28;7;1;;;1;1;9;
29;прочих предметов;1046.23;925.78;815.42;78;40;10;17;31;31;107;2
30;учителя-логопеды;184.43;164.16;146.96;114;16;1;11;11;10;120;10
31;учителя-дефектологи;112.05;94.66;82.21;60;13;1;10;3;3;71;6
32;из них:                      олигофренопедагог;28.6;24.7;21.7;18;3;;3;;;19;3
33;тифлопедагог;1;1;;1;;;;;;1;
34;сурдопедагог;1;1;1;1;;;;;;1;
35;социальные педагоги;270.14;242.69;230.29;176;40;5;25;31;30;181;11
36;педагоги дополнительного образования;1583.94;1377.3;988.19;262;81;12;51;45;42;294;20
37;педагоги-психологи;459.45;406.4;375.45;298;48;5;33;39;38;302;34
38;воспитатели;2171.47;2010.34;1834.55;1394;157;37;81;160;147;1378;58
39;мастера производственного обучения;11.75;11.25;11.25;8;;;;;;5;1
40;тьюторы;112.5;95.25;84.25;65;21;3;9;5;5;75;10
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;178.43;170.18;155.98;26;61;6;45;5;5;103;5
42;другие;880.84;804.43;716.13;433;87;19;53;66;63;434;22
43;учебно-вспомогательный персонал;2341.43;2228.65;2112.11;1728;196;84;45;246;238;1675;60
44;иной персонал;10177.99;9415.84;8691.86;7192;932;393;90;1047;1004;7108;350
45;из них:             ассистент (помощник);12;8;8;1;5;5;;;;6;3
46;сурдопереводчик;;;;;;;;;;;
47;тифлосурдопереводчик;1;;;;;;;;;;1
48;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;1369.21;1266.33;1196.06;1105;79;27;36;74;69;1128;16
49;из них воспитатели;1024.53;983.65;924.4;873;60;18;28;61;58;928;14
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;2.63;2.63;2.63;21;2;2;;2;2;18;
51;из них учителя;2.63;2.63;2.63;19;2;2;;2;2;12;
;;;;;;;;;;;;
;;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам
