;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;49766;9244;15173;25349;48964;565;237
2;из них:        русский язык;543;;60;483;540;;3
3;литературное чтение;966;966;;;966;;
4;родной язык и (или) государственный язык       республики Российской Федерации;31;;;31;31;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;101;101;;;101;;
7;математика;21498;4176;7352;9970;21302;155;41
8;изобразительное искусство;;;;;;;
9;музыка;259;196;;63;259;;
10;труд (технология);;;;;;;
11;физическая культура;260;;;260;260;;
12;литература;2659;;72;2587;2644;14;1
13;родная литература;13;;;13;13;;
14;иностранный язык;10466;3805;5454;1207;10466;;
15;из них:              английский;10008;3805;5016;1187;10008;;
16;немецкий;402;;382;20;402;;
17;французский;27;;27;;27;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;29;;29;;29;;
21;другие восточные языки;;;;;;;
22;информатика;3675;;440;3235;3588;87;
23;история;2939;;166;2773;2647;122;170
24;обществознание;11806;;505;11301;11351;346;109
25;география;2100;;181;1919;2095;5;
26;физика;4349;;1574;2775;4349;;
27;химия;2599;;369;2230;2599;;
28;биология;6878;;1237;5641;6867;7;4
29;основы безопасности и защиты Родины;;;;;;;
