;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);46;247;1018;4404
2;в том числе       инженерные;9;48;264;1238
3;медицинские;4;52;119;1009
4;космические;;;;
5;педагогические;5;73;80;804
6;аграрные;14;31;164;346
7;предпринимательские;;1;;28
8;кадетские;;2;;59
9;IT-классы;;4;;121
10;другие;14;36;391;799
