;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 11);2071;43;83;86;138;201;213;234;230;296;260;287;;;
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05) (сумма строк 06–10);2054;42;81;86;137;198;208;232;230;296;258;286;;;
3;в том числе (из строки 02) обучались:       очно;2054;42;81;86;137;198;208;232;230;296;258;286;;;
4;очно-заочно;;;;;;;;;;;;;;;
5;заочно;;;;;;;;;;;;;;;
6;в том числе (из строки 02)  по программам с нормативным    сроком освоения:       9 лет;911;27;;;44;73;92;80;86;137;203;169;;;
7;10 лет;505;;43;49;27;55;49;56;48;92;11;75;;;
8;11 лет;85;10;1;6;2;11;14;12;10;2;1;16;;;
9;12 лет;134;5;;;14;6;16;20;15;17;15;26;;;
10;13 лет;419;;37;31;50;53;37;64;71;48;28;;;;
11;Численность экстернов, окончивших данный класс (сумма строк 12–16);17;1;2;;1;3;5;2;;;2;1;;;
12;в том числе по программам с нормативным сроком освоения:       9 лет;3;;;;;;;;;;2;1;;;
13;10 лет;4;;1;;;1;2;;;;;;;;
14;11 лет;3;1;;;1;1;;;;;;;;;
15;12 лет;;;;;;;;;;;;;;;
16;13 лет;7;;1;;;1;3;2;;;;;;;
17;Из строки 11 – обучались:       в форме семейного образования;17;1;2;;1;3;5;2;;;2;1;;;
18;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;;
