;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);421;245;303.8
2;в том числе:       руководящие работники – всего;4;4;2.2
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);272;178;204.5
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);167;105;127.3
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;3;3;2.4
6;русского языка и литературы;7;7;5.3
7;языка народов России и литературы;1;1;1.5
8;истории, экономики, права, обществознания;11;7;8.3
9;информатики;13;9;9
10;физики;17;5;11.3
11;математики;13;12;10.4
12;химии;14;9;11
13;географии;6;5;3.6
14;биологии;10;6;7.5
15;иностранных языков;18;15;13.5
16;из них:                      английского языка;17;14;12.5
17;немецкого языка;1;1;1
18;французского языка;;;
19;китайского языка;;;
20;физической культуры;23;6;21.4
21;труда (технологии);12;7;9.1
22;музыки и пения;7;6;4.8
23;изобразительного искусства, черчения;1;1;0.4
24;основ безопасности и защиты Родины;4;;3.2
25;основ духовно-нравственной культуры народов России;;;
26;прочих предметов;7;6;6.9
27;учителя-логопеды;9;8;7
28;учителя-дефектологи;3;3;2
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;;;
33;педагоги дополнительного образования;70;44;50.3
34;педагоги-психологи;9;9;7.6
35;воспитатели;;;
36;мастера производственного обучения;;;
37;тьюторы;2;2;1.5
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;;;
39;другие;12;7;8
40;учебно-вспомогательный персонал;61;33;36.6
41;иной персонал;84;30;58
42;из них:             ассистент(помощник);4;2;3
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;;;
46;из них воспитатели;;;
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;1;1;1
48;из них учителя;1;1;1
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;2;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;1;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);59;;
53;из них женщин;56;;
54;в том числе:          врачи всех специальностей;14;;
55;медицинские сестры;45;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;160;;
