;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);18408;1135;998;1199;1003;1770;1447;2292;1961;2332;2052;2583;2326;2674;2360;2313;1970;1440;1150;670;538
2;в том числе:       руководящие работники – всего;1077;2;1;12;10;66;54;119;92;144;127;212;205;219;205;192;177;90;85;21;18
3;из них:             директор;184;;;;;3;1;17;9;13;9;35;32;46;38;37;33;26;23;7;5
4;заместители директора;529;1;1;8;6;43;36;59;46;80;72;105;102;107;103;79;73;42;41;5;5
5;руководитель филиала;198;1;;3;3;9;7;22;17;21;18;33;32;46;45;47;42;10;10;6;5
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);12995;1060;950;1102;932;1417;1162;1624;1439;1527;1386;1674;1538;1729;1625;1462;1357;938;872;462;417
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);10891;922;819;935;773;1156;918;1298;1128;1215;1085;1403;1275;1482;1381;1288;1190;802;743;390;353
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;3649;411;406;314;310;313;311;332;328;377;375;479;477;611;611;493;491;249;249;70;70
9;русского языка и литературы;1364;104;99;107;99;120;116;167;165;145;144;170;169;185;185;151;151;127;126;88;87
10;языка народов России и литературы;20;;;;;1;1;1;1;2;2;5;5;7;7;4;4;;;;
11;истории, экономики, права, обществознания;743;69;47;78;52;122;90;88;67;74;58;90;76;80;70;74;68;51;45;17;14
12;информатики;191;22;13;19;12;40;25;30;18;25;18;18;13;20;16;12;10;2;2;3;2
13;физики;334;15;10;25;18;29;18;36;27;33;23;34;26;46;36;46;38;39;34;31;27
14;математики;1077;92;77;96;82;118;97;125;114;99;93;124;118;129;124;133;128;97;94;64;62
15;химии;209;15;13;12;9;16;13;17;16;23;19;23;22;35;35;32;32;21;20;15;14
16;географии;304;10;10;18;18;33;27;41;35;30;26;45;41;50;44;47;47;19;17;11;9
17;биологии;367;16;15;32;30;35;31;36;35;47;45;49;47;50;50;54;54;35;34;13;13
18;иностранных языков;1077;76;68;97;83;139;128;210;203;166;163;158;152;76;72;70;68;53;53;32;30
19;из них:                         английского языка;961;71;63;91;77;130;119;201;194;153;150;138;133;58;55;56;55;40;40;23;22
20;немецкого языка;98;5;5;5;5;7;7;7;7;12;12;17;16;14;13;13;12;10;10;8;7
21;французского языка;11;;;;;2;2;1;1;1;1;;;2;2;1;1;3;3;1;1
22;китайского языка;;;;;;;;;;;;;;;;;;;;;
23;физической культуры;767;57;35;78;24;127;23;117;47;94;39;94;35;81;37;67;23;40;21;12;5
