;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;535
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;512
3;Коллегиальные органы управления;530
4;в том числе:       общее собрание;496
5;педагогический совет;529
6;попечительский совет;60
7;управляющий совет;52
8;наблюдательный совет;15
9;другие;160
10;Советы обучающихся;453
11;Советы родителей;464
12;Профессиональные союзы работников;513
13;из строки 03 с участием общественности (родителей, работодателей);509
14;Организация реализует профориентационный минимум;483
15;в том числе:       на базовом уровне;329
16;на основном уровне;125
17;на продвинутом уровне;29
