;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
№ строки;Наименование показателя;Всего (сумма граф 4-47);Программы начального общего образования с нормативным сроком обучения 4 года 1-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 2-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 3-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 4-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 5 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 2 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 2 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс второго года обучения;Из общей численности обучающихся (из гр. 3): лица с ограниче- нными возможно- стями здоровья;Из общей численности обучающихся (из гр. 3): из них: инвалиды;Из общей численности обучающихся (из гр. 3): из них: дети-инвалиды;Из общей численности обучающихся (из гр. 3): инвалиды  (кроме учтенных в гр. 49);Из общей численности обучающихся (из гр. 3): дети-инвалиды  (кроме учтенных в гр. 50);Из общей численности обучающихся (из гр. 3): с умствен-ной отста-лостью
1;Число классов для глухих, ед.;5;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;1;;;;;;;;1;;1;;;;;;;;;;;;
2;В них обучающихся, чел.;34;;;;;;;;;;;;;;;;7;;;;;;;;;5;;;7;;;;;;;;7;;8;;;;;;;34;8;26;;;
3;Число классов для слабослышащих и позднооглохших, ед.;19;;;;;;1;;2;;;1;;;1;1;1;;;;;;2;;;1;;;1;;;2;;;;2;1;2;1;;;;;;;;;;;;
4;В них обучающихся, чел.;113;;;;;;6;;12;;;8;;;8;4;7;;;;;;14;;;4;;;7;;;12;;;;13;6;8;4;;;;;;;113;12;78;;;
5;Число классов для слепых, ед.;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;
6;В них обучающихся, чел:       cлепых;14;4;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;5;;;;;;;;;;14;1;13;;;
7;слабовидящих и поздноослепших;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Число классов для слабовидящих и поздноослепших, ед.;53;1;2;1;2;2;1;;2;;;3;1;;;3;3;3;3;4;3;5;2;;;2;;;3;;;3;;;;;1;2;1;;;;;;;;;;;;
9;В них обучающихся, чел:       слабовидящих и поздноослепших;320;5;10;8;5;17;6;;18;;;21;5;;;22;19;21;23;22;26;28;9;;;14;;;13;;;13;;;;;5;9;1;;;;;;;320;;138;;;
10;cлепых;27;;;;;;1;;;;;;;;;1;3;3;;2;2;;5;;;;;;2;;;4;;;;;2;1;1;;;;;;;27;2;25;;;
11;Число классов для обучающихся с тяжелыми нарушениями речи, ед.;22;4;2;3;3;;;;;;;;;;;;;;;;;;2;;;2;;;2;;;1;;;;2;1;;;;;;;;;;;;;;
12;В них обучающихся, чел.;244;36;28;34;30;;;;;;;;;;;;;;;;;;25;;;23;;;22;;;18;;;;15;13;;;;;;;;;244;;63;;;
13;Число классов для обучающихся с нарушением опорно-двигательного аппарата, ед.;26;;;;1;;3;1;2;;;2;;;4;1;;;1;2;;;2;;;1;;;1;;;1;;;1;;2;;1;;;;;;;;;;;;
14;В них обучающихся, чел.;144;;;;1;;21;11;17;;;17;;;19;2;;;8;6;;;10;;;5;;;3;;;5;;;9;;9;;1;;;;;;;144;1;138;;;
15;Число классов для обучающихся с задержкой психического развития, ед.;165;4;5;8;10;4;6;8;9;;;9;;;11;;;16;17;21;20;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;В них обучающихся, чел.;1849;31;38;72;85;35;65;86;116;;;105;;;143;;;183;204;247;235;204;;;;;;;;;;;;;;;;;;;;;;;;1849;;248;;;9
17;Число классов для обучающихся с расстройствами аутистического спектра, ед.;3;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;В них обучающихся, чел.;12;;;;;;2;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;12;;;2
19;Число классов для обучающихся со сложными дефектами, ед.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;В них обучающихся, чел.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Число классов для обучающихся с иными ограниченными возможностями здоровья (кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями), ед.;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;В них обучающихся, чел.;7;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;;;
23;Итого классов (сумма строк 01,03, 05, 08, 11, 13, 15, 17, 19, 21);297;10;9;12;16;6;13;11;15;;;15;1;;16;5;5;19;21;27;23;22;8;;;7;;;9;;;7;;;1;5;6;4;4;;;;;;;;;;;;
24;"В них обучающихся  (сумма строк 02, 04, 06, 07, 09, 10, 12, 14, 16, 18, 20, 22; сумма строк 25 - 27)";2764;76;76;114;121;52;108;107;163;;;151;5;;170;29;36;207;235;277;263;232;63;;;51;;;59;;;52;;;9;33;42;18;15;;;;;;;2764;24;743;;;11
25;в том числе обучаются:       очно;2764;76;76;114;121;52;108;107;163;;;151;5;;170;29;36;207;235;277;263;232;63;;;51;;;59;;;52;;;9;33;42;18;15;;;;;;;2764;24;743;;;11
26;очно-заочно;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;заочно;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;из них (из строки 24):       воспитанники (без приходящих учащихся);260;2;1;2;;2;19;;22;;;18;;;14;5;19;;3;1;;2;28;;;19;;;27;;;19;;;;18;22;6;11;;;;;;;247;21;193;;;
29;девочки;899;25;22;36;24;10;36;26;55;;;54;2;;62;9;15;67;73;98;81;84;21;;;19;;;16;;;18;;;4;12;16;4;10;;;;;;;700;10;153;;;1
30;лица с ограниченными возможностями здоровья;2764;76;76;114;121;52;108;107;163;;;151;5;;170;29;36;207;235;277;263;232;63;;;51;;;59;;;52;;;9;33;42;18;15;;;;;;;;;;;;2
31;из них (из строки 30):             инвалиды;24;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;3;;;;3;1;3;12;;;;;;;;;;;;
32;дети-инвалиды;743;29;25;24;21;19;65;51;68;;;37;2;;38;13;27;37;38;44;20;21;31;;;25;;;25;;;25;;;9;16;22;11;;;;;;;;;;;;;2
33;инвалиды (кроме учтенных в строке 31);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;дети-инвалиды (кроме учтенных в строке 32);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;дети-сироты и дети, оставшиеся без попечения       родителей;58;1;;3;2;;1;1;2;;;3;;;3;;1;5;4;6;9;10;3;;;;;;2;;;2;;;;;;;;;;;;;;26;;5;;;
36;из них воспитанники (без приходящих учащихся);6;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;1;;;2;;;;;;;;;;;;;;6;;4;;;
37;обучающиеся иностранные граждане;2;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;из них девочки;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;обучающиеся лица без гражданства;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
