;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);224;172;4427;2893
2;в том числе       инженерные;28;29;841;637
3;медицинские;27;23;476;367
4;космические;;;;
5;педагогические;42;32;587;462
6;аграрные;28;7;324;38
7;предпринимательские;7;;188;
8;кадетские;42;6;925;123
9;IT-классы;28;9;635;130
10;другие;22;66;451;1136
