;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Общая численность обучающихся (сумма граф  4, 7, 10);Численность обучающихся по программам начального общего образования – всего (1–4 классы);Численность обучающихся по программам из графы 4 девочки;Численность обучающихся по программам из графы 4 обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования – всего (5-9 классы);Численность обучающихся по программам из графы 7 девочки;Численность обучающихся по программам из графы 7 обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования – всего (10-11(12) классы;Численность обучающихся по программам из графы 10 девочки;Численность обучающихся по программам из графы 10 обучающиеся 10-х классов без оставленных на повторное обучение;из них (из графы 3) обучающиеся по очно-заочной и заочной формам обучения*;из них (из графы 3) обучающиеся иностранные граждане;из них (из графы 3) из них (из гр. 14) девочки;из них (из графы 3) обучающиеся лица без гражданства
1;Всего;193601;79445;38805;17309;101756;49826;20654;12400;6791;6425;997;303;114;23
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;;;;;;;;;;;;
3;6 лет;498;498;269;483;;;;;;;;2;;
4;7 лет;14720;14720;7310;13902;;;;;;;;23;11;4
5;8 лет;19826;19826;9768;2852;;;;;;;18;40;19;6
6;9 лет;20731;20729;10143;67;2;1;2;;;;24;27;9;6
7;10 лет;20551;19810;9628;4;741;403;710;;;;21;36;19;3
8;11 лет;20730;3494;1548;1;17236;8720;15909;;;;10;31;10;1
9;12 лет;21503;316;119;;21187;10546;3709;;;;22;27;13;
10;13 лет;20202;39;15;;20163;9820;291;;;;22;34;14;1
11;14 лет;19892;10;5;;19882;9752;29;;;;28;26;6;1
12;15 лет;18463;2;;;18073;8864;3;388;234;364;34;18;8;1
13;16 лет;9309;;;;3652;1440;;5657;3161;5023;126;13;4;
14;17 лет;6112;1;;;641;215;1;5470;3037;925;247;7;1;
15;18 лет;684;;;;136;46;;548;270;41;90;1;;
16;19 лет;55;;;;25;11;;30;23;9;36;;;
17;20 лет;46;;;;10;4;;36;12;9;42;;;
18;21 год;46;;;;2;1;;44;6;11;46;;;
19;22 года;36;;;;;;;36;4;7;36;2;;
20;23 года;32;;;;1;1;;31;12;6;31;2;;
21;24 года;25;;;;1;;;24;2;5;25;3;;
22;25 лет;23;;;;;;;23;7;5;23;3;;
23;26 лет;18;;;;;;;18;6;3;18;;;
24;27 лет;18;;;;2;1;;16;4;3;18;1;;
25;28 лет;29;;;;;;;29;4;6;29;1;;
26;29 лет;25;;;;1;;;24;2;3;25;6;;
27;30–34 года;15;;;;1;1;;14;4;1;14;;;
28;35–39 лет;5;;;;;;;5;2;1;5;;;
29;40 лет и старше;7;;;;;;;7;1;3;7;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
