;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);2897;1753;1596.5
2;в том числе:       руководящие работники – всего;13;11;5.8
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);1897;1284;960.8
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);1220;839;644.9
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;50;47;30.3
6;русского языка и литературы;47;45;24.8
7;языка народов России и литературы;5;5;2
8;истории, экономики, права, обществознания;98;75;53.2
9;информатики;64;33;23.3
10;физики;101;50;54.1
11;математики;69;54;41.8
12;химии;85;72;38.4
13;географии;47;40;27.1
14;биологии;55;48;24.7
15;иностранных языков;94;88;51
16;из них:                      английского языка;85;80;45.7
17;немецкого языка;7;6;3.3
18;французского языка;;;
19;китайского языка;;;
20;физической культуры;116;33;71.6
21;труда (технологии);78;30;37.9
22;музыки и пения;88;58;37.5
23;изобразительного искусства, черчения;31;30;12.4
24;основ безопасности и защиты Родины;30;5;15.5
25;основ духовно-нравственной культуры народов России;7;7;1.4
26;прочих предметов;155;119;97.9
27;учителя-логопеды;60;59;29.6
28;учителя-дефектологи;44;43;22.4
29;из них:                олигофренопедагог;14;13;9.7
30;тифлопедагог;2;2;0.5
31;сурдопедагог;6;6;1.8
32;социальные педагоги;10;10;3.7
33;педагоги дополнительного образования;294;158;113.7
34;педагоги-психологи;53;46;25.9
35;воспитатели;113;59;62.8
36;мастера производственного обучения;6;3;4.8
37;тьюторы;13;11;9
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;5;4;1.8
39;другие;79;52;42.3
40;учебно-вспомогательный персонал;189;91;119.3
41;иной персонал;798;367;510.8
42;из них:             ассистент(помощник);4;3;3
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;14;11;8.2
46;из них воспитатели;3;3;2.2
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;27;21;8.4
48;из них учителя;26;20;7.9
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;12;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;5;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);41;;
53;из них женщин;33;;
54;в том числе:          врачи всех специальностей;25;;
55;медицинские сестры;16;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;782;;
