;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);265;181;1699;1731
2;в том числе       инженерные;10;30;243;142
3;медицинские;;;;
4;космические;;;;
5;педагогические;6;58;102;800
6;аграрные;1;1;14;15
7;предпринимательские;;2;;40
8;кадетские;16;3;336;62
9;IT-классы;79;4;142;83
10;другие;153;83;862;589
