;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 11);1415;24;81;106;109;126;131;144;142;142;110;133;47;55;65
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05) (сумма строк 06–10);1414;24;81;106;109;126;131;144;142;142;110;132;47;55;65
3;в том числе (из строки 02) обучались:       очно;1414;24;81;106;109;126;131;144;142;142;110;132;47;55;65
4;очно-заочно;;;;;;;;;;;;;;;
5;заочно;;;;;;;;;;;;;;;
6;в том числе (из строки 02)  по программам с нормативным    сроком освоения:       9 лет;203;6;;;10;24;15;23;28;29;25;43;;;
7;10 лет;119;;3;8;11;22;15;13;13;19;7;8;;;
8;11 лет;33;;1;1;4;;1;6;2;9;;1;1;7;
9;12 лет;475;18;;;44;43;60;47;53;43;45;30;24;18;50
10;13 лет;584;;77;97;40;37;40;55;46;42;33;50;22;30;15
11;Численность экстернов, окончивших данный класс (сумма строк 12–16);1;;;;;;;;;;;1;;;
12;в том числе по программам с нормативным сроком освоения:       9 лет;;;;;;;;;;;;;;;
13;10 лет;;;;;;;;;;;;;;;
14;11 лет;;;;;;;;;;;;;;;
15;12 лет;;;;;;;;;;;;;;;
16;13 лет;1;;;;;;;;;;;1;;;
17;Из строки 11 – обучались:       в форме семейного образования;1;;;;;;;;;;;1;;;
18;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;;
