;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);1481;960;1158.5
2;в том числе:       руководящие работники – всего;63;52;49
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);827;642;663
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);579;458;512.5
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;77;76;66.9
6;русского языка и литературы;46;46;38.9
7;языка народов России и литературы;1;;0.5
8;истории, экономики, права, обществознания;39;31;30.1
9;информатики;26;10;48.1
10;физики;41;25;35.2
11;математики;44;44;40.2
12;химии;49;41;36.4
13;географии;10;10;7.7
14;биологии;19;17;16.2
15;иностранных языков;73;66;57.7
16;из них:                      английского языка;47;45;37.3
17;немецкого языка;16;13;12.2
18;французского языка;3;3;2.5
19;китайского языка;1;;0.1
20;физической культуры;47;18;43.3
21;труда (технологии);23;15;20.1
22;музыки и пения;35;34;28.8
23;изобразительного искусства, черчения;14;11;11
24;основ безопасности и защиты Родины;18;4;17.4
25;основ духовно-нравственной культуры народов России;1;1;0.3
26;прочих предметов;16;9;11.5
27;учителя-логопеды;28;28;20.5
28;учителя-дефектологи;15;15;9.1
29;из них:                олигофренопедагог;6;6;2.5
30;тифлопедагог;1;1;1
31;сурдопедагог;;;
32;социальные педагоги;4;3;3.5
33;педагоги дополнительного образования;118;63;76
34;педагоги-психологи;27;26;18.5
35;воспитатели;10;10;9
36;мастера производственного обучения;3;1;2
37;тьюторы;;;
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;2;2;1.2
39;другие;41;36;28.4
40;учебно-вспомогательный персонал;96;60;71.5
41;иной персонал;495;206;377.6
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;13;11;11.2
46;из них воспитатели;5;5;4.5
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;1;;0.9
48;из них учителя;1;;0.9
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;32;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;1;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;6;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);29;;
53;из них женщин;26;;
54;в том числе:          врачи всех специальностей;19;;
55;медицинские сестры;10;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;569;;
