;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;373
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;360
3;Коллегиальные органы управления;369
4;в том числе:       общее собрание;326
5;педагогический совет;368
6;попечительский совет;40
7;управляющий совет;316
8;наблюдательный совет;33
9;другие;23
10;Советы обучающихся;315
11;Советы родителей;278
12;Профессиональные союзы работников;154
13;из строки 03 с участием общественности (родителей, работодателей);267
14;Организация реализует профориентационный минимум;318
15;в том числе:       на базовом уровне;68
16;на основном уровне;207
17;на продвинутом уровне;49
