;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;22491;1360;10984;10147;22163;304;24
2;из них:        русский язык;265;;173;92;265;;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;8479;30;3167;5282;8417;40;22
8;изобразительное искусство;155;;132;23;155;;
9;музыка;6;;;6;6;;
10;труд (технология);;;;;;;
11;физическая культура;;;;;;;
12;литература;1102;;278;824;1102;;
13;родная литература;;;;;;;
14;иностранный язык;5001;1330;2960;711;5001;;
15;из них:              английский;4415;1111;2634;670;4415;;
16;немецкий;104;;92;12;104;;
17;французский;103;;91;12;103;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;605;172;354;79;605;;
21;другие восточные языки;152;47;102;3;152;;
22;информатика;3746;;1983;1763;3746;;
23;история;1988;;149;1839;1722;264;2
24;обществознание;5847;;562;5285;5612;216;19
25;география;644;;99;545;644;;
26;физика;2064;;555;1509;2064;;
27;химия;1558;;559;999;1558;;
28;биология;2616;;1491;1125;2616;;
29;основы безопасности и защиты Родины;6;;;6;6;;
