;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Всего (сумма граф 4 – 16);Программы начального общего образования 1-й класс;Программы начального общего образования 2-й класс;Программы начального общего образования 3-й класс;Программы начального общего образования 4-й класс;Программы основного общего образования 5-й класс;Программы основного общего образования 6-й класс;Программы основного общего образования 7-й класс;Программы основного общего образования 8-й класс;Программы основного общего образования 9-й класс;Программы среднего общего образования 10-й класс;Программы среднего общего образования 11-й класс (выпускной);Программы среднего общего образования 11-й класс;Программы среднего общего образования 12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 06);147355;16063;16650;16436;15704;15216;14461;14228;14194;13636;5552;4933;168;114
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05);146589;15963;16551;16378;15646;15166;14420;14182;14140;13472;5522;4874;165;110
3;в том числе обучались:       очно;145955;15963;16551;16378;15646;15161;14418;14159;14113;13431;5294;4841;;
4;очно-заочно;565;;;;;;;19;23;27;216;30;152;98
5;заочно;69;;;;;5;2;4;4;14;12;3;13;12
6;Численность экстернов, окончивших данный класс;766;100;99;58;58;50;41;46;54;164;30;59;3;4
7;из них (из стр.06)  обучались:       в форме семейного образования;687;100;99;58;58;50;41;46;53;160;3;19;;
8;в форме самообразования;67;;;;;;;;;;26;39;;2
9;по программам, не имеющим государственной аккредитации;9;;;;;;;;1;2;1;;3;2
