;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 11);3228;180;97;121;276;321;312;339;377;345;363;357;82;58;
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05) (сумма строк 06–10);3227;180;97;121;276;321;312;339;377;345;363;356;82;58;
3;в том числе (из строки 02) обучались:       очно;3100;171;69;106;261;293;297;328;377;345;363;350;82;58;
4;очно-заочно;127;9;28;15;15;28;15;11;;;;6;;;
5;заочно;;;;;;;;;;;;;;;
6;в том числе (из строки 02)  по программам с нормативным    сроком освоения:       9 лет;2089;180;;;175;195;217;258;269;246;281;268;;;
7;10 лет;161;;7;10;12;23;10;11;20;25;7;19;17;;
8;11 лет;254;;25;30;28;23;14;9;15;19;22;11;37;21;
9;12 лет;71;;;;;6;;;5;9;6;14;11;20;
10;13 лет;652;;65;81;61;74;71;61;68;46;47;44;17;17;
11;Численность экстернов, окончивших данный класс (сумма строк 12–16);1;;;;;;;;;;;1;;;
12;в том числе по программам с нормативным сроком освоения:       9 лет;1;;;;;;;;;;;1;;;
13;10 лет;;;;;;;;;;;;;;;
14;11 лет;;;;;;;;;;;;;;;
15;12 лет;;;;;;;;;;;;;;;
16;13 лет;;;;;;;;;;;;;;;
17;Из строки 11 – обучались:       в форме семейного образования;1;;;;;;;;;;;1;;;
18;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;;
