;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);18971;1073;765;1930;2272;2321;10610;11672;1234;727;1525;1336;1067;5783;7299
2;в том числе:       руководящие работники – всего;1410;6;16;54;151;191;992;1140;39;28;94;132;133;714;270
3;из них:             директор;350;;;5;23;31;291;344;3;5;9;28;32;267;6
4;заместители директора;915;4;15;44;113;133;606;758;31;21;84;96;95;431;157
5;руководитель филиала;4;;;1;;2;1;3;;;1;2;;;1
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);10336;742;441;1097;1138;1064;5854;10318;1151;668;1399;1178;913;5009;18
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);8169;572;325;813;841;802;4816;8160;776;459;1008;889;728;4300;9
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2516;185;97;323;193;205;1513;2513;227;139;367;205;211;1364;3
9;русского языка и литературы;931;63;28;57;75;70;638;931;84;38;73;85;58;593;
10;языка народов России и литературы;10;1;;;1;1;7;10;1;;1;1;2;5;
11;истории, экономики, права, обществознания;507;49;25;61;62;47;263;506;58;38;73;56;47;234;1
12;информатики;190;12;9;22;31;32;84;190;19;14;28;26;25;78;
13;физики;226;16;4;11;14;20;161;226;23;6;17;18;14;148;
14;математики;737;44;29;56;70;66;472;737;60;42;68;79;48;440;
15;химии;160;5;5;11;11;20;108;160;8;4;12;15;23;98;
16;географии;240;13;6;21;27;19;154;240;20;8;29;27;20;136;
17;биологии;217;16;10;13;20;21;137;217;23;11;17;22;19;125;
18;иностранных языков;836;73;36;104;150;130;343;834;87;41;130;153;118;305;2
19;из них:                         английского языка;804;71;33;97;144;124;335;802;83;39;126;146;111;297;2
20;немецкого языка;7;;2;1;;1;3;7;1;1;1;;1;3;
21;французского языка;2;;;;1;;1;2;;;;1;;1;
22;китайского языка;10;1;;2;3;3;1;10;2;1;1;2;3;1;
23;физической культуры;660;50;40;57;101;68;344;659;80;50;79;96;56;298;1
24;труда (технологии);392;10;13;28;38;46;257;391;28;32;41;53;39;198;1
25;музыки и пения;146;10;5;10;11;7;103;146;14;6;12;13;7;94;
26;изобразительного искусства, черчения;151;14;5;14;12;22;84;151;16;9;19;16;17;74;
27;основ безопасности и защиты Родины;114;4;5;13;13;9;70;113;13;13;18;12;8;49;1
28;основ духовно-нравственной культуры народов России;;;;;;;;;;;;;;;
29;прочих предметов;136;7;8;12;12;19;78;136;15;8;24;12;16;61;
30;учителя-логопеды;218;19;10;24;37;28;100;217;21;19;30;46;24;77;1
31;учителя-дефектологи;110;8;2;16;23;16;45;110;13;7;21;25;7;37;
32;из них:                   олигофренопедагог;67;4;2;9;13;12;27;67;7;4;14;15;6;21;
33;тифлопедагог;;;;;;;;;;;;;;;
34;сурдопедагог;14;;;;2;;12;14;;;;2;;12;
35;социальные педагоги;193;9;9;19;25;31;100;192;37;16;30;29;16;64;1
36;педагоги дополнительного образования;290;34;20;40;34;29;133;289;67;27;61;26;17;91;1
37;педагоги-психологи;309;28;20;44;51;36;130;307;49;23;69;47;29;90;2
38;воспитатели;533;33;27;66;58;59;290;532;68;60;94;59;46;205;1
39;мастера производственного обучения;11;;;;1;;10;11;2;1;1;;1;6;
40;тьюторы;90;4;;17;13;15;41;90;23;2;18;14;9;24;
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;69;9;12;8;15;9;16;69;23;16;6;12;3;9;
42;другие;344;26;16;50;40;39;173;341;72;38;61;31;33;106;3
43;учебно-вспомогательный персонал;790;34;37;97;109;120;393;112;28;14;17;13;13;27;678
44;иной персонал;6435;291;271;682;874;946;3371;102;16;17;15;13;8;33;6333
45;из них:             ассистент (помощник);37;2;2;3;6;3;21;15;1;6;1;;2;5;22
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;250;11;10;32;37;32;128;250;38;26;62;29;22;73;
49;из них воспитатели;214;8;9;30;28;29;110;214;34;24;53;25;18;60;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;67;3;;1;3;6;54;67;3;1;2;3;6;52;
51;из них учителя;67;3;;1;3;6;54;67;3;1;2;3;6;52;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
