;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);18971;872;717;989;840;1694;1464;1841;1611;2109;1844;2437;2138;2836;2500;2313;1978;2015;1615;1865;1508
2;в том числе:       руководящие работники – всего;1410;3;2;31;23;72;61;165;149;199;183;211;187;324;294;199;179;126;109;80;72
3;из них:             директор;350;;;3;3;7;5;34;29;40;36;43;39;86;80;66;60;43;35;28;26
4;заместители директора;915;2;1;23;19;58;50;117;106;133;122;142;125;214;189;115;101;68;62;43;38
5;руководитель филиала;4;;;;;1;1;;;2;2;;;;;;;1;;;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);10336;692;601;742;649;1131;1012;957;855;1050;966;1219;1133;1497;1413;1194;1125;939;841;915;831
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);8169;537;475;578;502;920;819;692;606;757;692;968;889;1214;1146;985;937;779;693;739;672
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2516;209;203;174;174;324;320;146;144;217;217;293;293;456;456;357;357;203;202;137;137
9;русского языка и литературы;931;47;47;62;60;64;62;54;54;80;78;130;129;143;141;134;134;101;101;116;114
10;языка народов России и литературы;10;;;1;1;;;;;1;1;2;2;1;1;2;2;2;2;1;1
11;истории, экономики, права, обществознания;507;41;29;51;34;75;55;47;35;45;39;54;53;66;62;58;54;37;33;33;30
12;информатики;190;10;5;18;13;31;26;27;18;23;19;27;22;25;23;19;19;5;4;5;4
13;физики;226;15;12;13;10;11;8;15;10;11;5;26;20;27;21;32;29;31;28;45;41
14;математики;737;40;36;59;52;71;69;53;52;48;43;80;75;96;91;78;78;108;103;104;102
15;химии;160;7;4;4;3;14;12;14;14;20;20;19;18;24;24;18;18;15;14;25;25
16;географии;240;10;8;16;12;25;19;25;21;12;12;24;22;39;36;35;33;24;22;30;28
17;биологии;217;14;13;14;13;20;20;21;18;18;17;21;21;39;37;17;16;20;20;33;31
18;иностранных языков;836;55;52;63;58;134;120;135;133;120;116;78;75;79;75;51;51;57;56;64;64
19;из них:                         английского языка;804;54;51;59;56;128;115;131;129;115;111;74;71;77;73;50;50;55;54;61;61
20;немецкого языка;7;;;1;1;;;1;1;2;2;;;;;;;1;1;2;2
21;французского языка;2;;;;;;;1;1;;;;;;;1;1;;;;
22;китайского языка;10;;;2;;4;4;1;1;;;1;1;1;1;;;1;1;;
23;физической культуры;660;48;30;47;31;76;46;83;49;79;56;95;63;81;66;53;36;59;32;39;24
24;труда (технологии);392;7;7;21;15;30;24;29;20;40;31;51;41;58;44;54;43;58;33;44;25
25;музыки и пения;146;11;10;8;8;9;9;9;9;7;7;18;18;23;23;29;29;16;16;16;12
26;изобразительного искусства, черчения;151;12;12;9;8;15;14;11;11;17;17;23;20;22;21;15;14;15;15;12;10
27;основ безопасности и защиты Родины;114;3;;9;2;12;6;9;7;8;3;11;3;18;8;12;4;19;3;13;2
28;основ духовно-нравственной культуры народов России;;;;;;;;;;;;;;;;;;;;;
29;прочих предметов;136;8;7;9;8;9;9;14;11;11;11;16;14;17;17;21;20;9;9;22;22
30;учителя-логопеды;218;18;18;18;18;22;22;25;25;39;39;26;26;33;33;17;16;11;11;9;9
31;учителя-дефектологи;110;6;6;8;7;17;15;13;13;16;16;16;16;15;15;10;10;5;5;4;4
32;из них:                      олигофренопедагог;67;4;4;4;4;11;9;8;8;12;12;9;9;7;7;9;9;3;3;;
33;тифлопедагог;;;;;;;;;;;;;;;;;;;;;
34;сурдопедагог;14;;;;;2;2;;;;;1;1;6;6;;;1;1;4;4
35;социальные педагоги;193;4;4;12;12;14;13;37;36;22;21;24;24;22;22;18;18;21;21;19;19
36;педагоги дополнительного образования;290;35;18;18;9;31;21;36;29;33;23;20;15;27;19;36;28;26;16;28;18
37;педагоги-психологи;309;26;24;19;19;49;45;38;36;47;47;38;38;40;39;22;21;19;19;11;10
38;воспитатели;533;31;31;36;35;39;39;54;54;62;61;63;62;84;80;54;52;52;51;58;57
39;мастера производственного обучения;11;;;1;;;;1;1;1;;;;2;1;3;1;;;3;1
40;тьюторы;90;4;4;2;2;12;11;8;8;14;14;15;15;8;8;11;11;2;2;14;14
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;69;8;5;17;15;6;6;12;12;11;11;4;4;4;4;4;3;2;2;1;
42;другие;344;23;16;33;30;21;21;41;35;48;42;45;44;48;46;34;28;22;21;29;27
43;учебно-вспомогательный персонал;790;27;22;30;24;75;66;98;89;108;91;97;91;97;94;80;76;94;82;84;79
44;иной персонал;6435;150;92;186;144;416;325;621;518;752;604;910;727;918;699;840;598;856;583;786;526
45;из них:             ассистент (помощник);37;;;3;2;5;4;2;2;2;2;3;3;4;4;7;6;6;6;5;5
46;сурдопереводчик;;;;;;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;250;12;12;20;20;23;23;25;25;30;30;44;44;39;39;29;29;16;15;12;12
