;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);40;116;882;2415
2;в том числе       инженерные;2;16;57;344
3;медицинские;;10;;239
4;космические;;;;
5;педагогические;8;32;189;549
6;аграрные;;1;;23
7;предпринимательские;1;6;27;161
8;кадетские;6;2;98;17
9;IT-классы;;2;;30
10;другие;23;47;511;1052
