;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;4687;477;522;620;606;435;479;506;496;460;45;39;1;1;;;;;;
2;В них обучающихся (всего), чел.;116672;11719;13210;15584;15471;10896;11957;12489;12179;11550;833;764;12;8;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;8;1;;1;2;;;1;3;;;;;;;7;;8;;
4;слабослышащие;114;14;11;11;13;7;14;19;9;11;3;2;;;;72;;114;;
5;позднооглохшие;4;;1;1;;1;;1;;;;;;;;4;;4;;
6;слепые;8;;1;;;1;2;1;;2;;1;;;1;7;;8;;
7;слабовидящие;198;14;28;16;23;16;20;13;32;26;3;7;;;;65;1;197;1;
8;с тяжелыми нарушениями речи;1868;375;455;422;403;51;59;39;37;26;1;;;;1;67;;1867;1;
9;с нарушением опорно-двигательного аппарата;279;28;20;36;30;25;30;29;37;20;12;12;;;3;208;2;279;;
10;с задержкой психического развития;6028;380;516;756;794;615;642;729;785;800;6;3;1;1;;230;2;6028;;
11;с умственной отсталостью (интеллектуальными          нарушениями);621;57;35;54;66;71;75;68;92;61;27;15;;;8;318;;618;;3
12;с расстройствами аутистического спектра;183;64;22;25;14;13;12;12;9;8;2;2;;;1;136;3;183;;
13;со сложными дефектами;8;2;;;1;1;1;;2;1;;;;;;8;;8;;
14;с иными ограниченными возможностями          здоровья;103;7;5;13;9;10;13;11;13;10;7;5;;;1;58;;103;;
