;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 11);2848;186;69;47;264;260;286;274;312;343;252;236;136;139;44
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05) (сумма строк 06–10);2757;182;67;37;257;250;278;264;304;337;250;228;130;137;36
3;в том числе (из строки 02) обучались:       очно;2757;182;67;37;257;250;278;264;304;337;250;228;130;137;36
4;очно-заочно;;;;;;;;;;;;;;;
5;заочно;;;;;;;;;;;;;;;
6;в том числе (из строки 02)  по программам с нормативным    сроком освоения:       9 лет;1342;113;;;139;114;127;151;196;224;144;134;;;
7;10 лет;85;;18;3;2;13;18;3;2;5;2;;19;;
8;11 лет;426;33;;;27;28;41;28;24;23;35;33;58;96;
9;12 лет;545;36;;;49;65;68;66;59;52;37;30;33;26;24
10;13 лет;359;;49;34;40;30;24;16;23;33;32;31;20;15;12
11;Численность экстернов, окончивших данный класс (сумма строк 12–16);91;4;2;10;7;10;8;10;8;6;2;8;6;2;8
12;в том числе по программам с нормативным сроком освоения:       9 лет;35;4;;;6;3;3;8;1;4;1;5;;;
13;10 лет;11;;1;7;;3;;;;;;;;;
14;11 лет;1;;;;;;;;;;;;1;;
15;12 лет;5;;;;1;;;;;1;;;;;3
16;13 лет;39;;1;3;;4;5;2;7;1;1;3;5;2;5
17;Из строки 11 – обучались:       в форме семейного образования;86;4;2;10;7;10;8;10;8;6;2;6;6;2;5
18;по программам, не имеющим государственной аккредитации;5;;;;;;;;;;;2;;;3
