;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);44797.95;44207.73;43727.32;30057;3970;503;1511;4495;3994;29532;398
2;в том числе:       руководящие работники – всего;2040.32;2004.47;1997.97;2169;131;7;63;419;354;1811;26
3;из них:             директор;312;297.75;297.75;300;16;;7;22;20;294;10
4;заместители директора;1484.82;1464.22;1452.42;1544;87;;46;282;230;1280;10
5;руководитель филиала;9.25;9.25;7;3;4;;;;;7;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);29126.27;28833.3;28527.37;17124;2517;223;1234;2275;2112;17440;209
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);22209.7;22087.13;21906.95;13118;1645;136;812;1534;1446;13273;105
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;5511.73;5492.45;5466.12;4038;390;80;175;416;398;3993;7
9;русского языка и литературы;2633.51;2631.52;2614.35;1497;205;3;119;194;179;1521;11
10;языка народов России и литературы;6.35;6.35;6.35;7;;;;2;2;5;
11;истории, экономики, права, обществознания;1380.85;1378.85;1374.8;800;108;2;65;88;81;817;7
12;информатики;651.77;646.09;642.92;376;58;3;26;39;37;392;7
13;физики;603.49;599.33;591.02;303;49;1;29;40;37;317;8
14;математики;2196.51;2190.85;2174.46;1144;172;3;99;152;145;1175;22
15;химии;402.52;399.81;386.47;232;33;;21;30;29;234;1
16;географии;564.64;562.59;555.04;300;40;;23;26;24;314;3
17;биологии;594.72;590.62;584.18;314;53;;27;37;37;330;5
18;иностранных языков;2397.67;2392.51;2379.28;1543;177;1;103;163;150;1561;10
19;из них:                         английского языка;2315.98;2309.12;2285.73;1469;170;1;99;139;131;1508;10
20;немецкого языка;48.9;48.9;47.96;50;;;;11;10;34;
21;французского языка;12.49;12.49;12.49;15;;;;4;1;10;
22;китайского языка;;;;;;;;;;;
23;физической культуры;1537.02;1534.61;1523.39;1068;93;13;34;130;126;1035;3
24;труда (технологии);939.95;936.11;925.26;562;76;10;31;74;68;568;6
25;музыки и пения;426.79;426.63;420.36;264;37;5;12;34;32;263;
26;изобразительного искусства, черчения;312.12;311.12;308.45;215;19;2;11;27;26;213;
27;основ безопасности и защиты Родины;178.07;174.57;172.15;126;27;;12;25;21;133;3
28;основ духовно-нравственной культуры народов России;36.68;36.68;36.46;1;3;;2;;;5;
29;прочих предметов;1835.31;1776.44;1745.89;328;105;13;23;57;54;397;12
30;учителя-логопеды;641.05;629.8;619.85;389;74;5;38;43;41;422;12
31;учителя-дефектологи;450.1;443.1;437.97;205;47;;30;12;12;242;3
32;из них:                      олигофренопедагог;57.75;57.75;57.75;53;7;;4;1;1;51;
33;тифлопедагог;4.83;4.83;4.73;3;;;;;;3;
34;сурдопедагог;15.17;15.17;12.29;7;1;;;;;7;
35;социальные педагоги;512.75;496.75;495.25;349;63;5;34;61;56;351;10
36;педагоги дополнительного образования;164.94;158.38;151.21;13;11;;2;5;4;22;6
37;педагоги-психологи;906.67;870.17;857.67;595;105;3;65;106;97;597;26
38;воспитатели;1248.22;1222.51;1212.71;1090;148;27;62;212;183;1018;14
39;мастера производственного обучения;8.86;8.86;8.86;6;1;1;;;;8;
40;тьюторы;236.98;222.58;218.08;105;47;10;28;13;13;136;6
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;98;97;93;6;25;1;11;2;2;43;1
42;другие;2649;2597.02;2525.82;1248;351;35;152;287;258;1328;26
43;учебно-вспомогательный персонал;3784.08;3696.93;3646.1;2895;416;83;108;554;467;2675;45
44;иной персонал;9847.28;9673.03;9555.88;7869;906;190;106;1247;1061;7606;118
45;из них:             ассистент (помощник);67.37;62.37;60.37;47;10;3;1;4;4;60;2
46;сурдопереводчик;1;1;1;1;;;;;;1;
47;тифлосурдопереводчик;;;;;;;;;;;
48;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;959.93;917.92;907.48;844;99;14;45;104;83;823;8
49;из них воспитатели;694.25;674.5;667.5;671;75;8;32;76;61;642;5
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;49.18;49.18;20.86;48;1;;;;;58;
51;из них учителя;42.66;42.66;20.86;41;1;;;;;53;
;;;;;;;;;;;;
;;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам
