;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование образовательных программ;Численность обучающихся по образовательным программам - всего, чел;Сетевая форма реализации образовательных программ численность обучающихся (из графы 3) по программам, реализуемым с использованием сетевой формы - всего, чел;Сетевая форма реализации образовательных программ число органи-заций, с которыми заключены дого-воры на реализа-цию образователь-ных программ с использованием сетевой формы, единиц , ед;Электронное обучение численность обучающихся (из графы 3) с применением электронного обучения , чел;Электронное обучение в том числе (из графы 6) с применением исключительно электронного обучения, чел;Дистанционные образовательные технологии численность обучающихся (из графы 3) с применением дистанционных образовательных технологий, чел;Дистанционные образовательные технологии в том числе (из графы 8) с применением исключительно дистанционных образовательных технологий, чел
1;Всего по образовательным программам (сумма строк 02, 12, 22, 32);435592;11938;;182648;36;132068;23
2;Образовательные программы начального общего образования;176998;3524;27;72577;8;52029;8
3;из них адаптированные;11731;297;1;3814;;2732;
4;в том числе:           для глухих;36;;;1;;1;
5;для слабослышащих и позднооглохших;196;8;;63;;60;
6;для слепых;20;;;;;;
7;для слабовидящих;314;;;78;;73;
8;с тяжелыми нарушениями речи;2265;148;;658;;520;
9;с нарушениями опорно-двигательного аппарата;714;1;;140;;235;
10;с задержкой психического развития;8060;140;1;2833;;1814;
11;с расстройствами аутистического спектра;126;;;41;;29;
12;Образовательные программы основного общего образования;222944;7183;39;95931;28;68596;15
13;из них адаптированные;19722;408;1;6665;4;4899;2
14;в том числе:           для глухих;80;;;15;;15;
15;для слабослышащих и позднооглохших;192;2;;54;;49;
16;для слепых;20;;;;;;
17;для слабовидящих;251;;;12;;10;
18;с тяжелыми нарушениями речи;584;10;1;148;1;141;1
19;с нарушениями опорно-двигательного аппарата;876;4;;180;1;418;
20;с задержкой психического развития;17660;391;;6243;2;4252;1
21;с расстройствами аутистического спектра;59;1;;13;;14;
22;Образовательные программы среднего общего образования;29198;1181;31;12154;;9886;
23;из них адаптированные;127;1;;15;;15;
24;в том числе:           для глухих;;;;;;;
25;для слабослышащих и позднооглохших;37;;;1;;;
26;для слепых;4;;;1;;1;
27;для слабовидящих;7;;;1;;;
28;с тяжелыми нарушениями речи;;;;;;;
29;с нарушениями опорно-двигательного аппарата;76;1;;9;;14;
30;с задержкой психического развития;2;;;2;;;
31;с расстройствами аутистического спектра;1;;;1;;;
32;Программы образования обучающихся с умственной отсталостью (интеллектуальными нарушениями);6452;50;7;1986;;1557;
33;Справочно. Код по ОКЕИ: человек – 792  Из общей численности обучающихся (из графы 3 подраздела 1.3.) – лица, имеющие кохлеарные импланты и обучающиеся по программам:    начального общего образования (из строки 02);98;;;;;;
34;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;82;;;;;;
35;основного общего образования (из строки 12);90;;;;;;
36;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;70;;;;;;
37;среднего общего образования (из строки 22);53;;;;;;
38;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;6;;;;;;
39;образования обучающихся с умственной отсталостью    (интеллектуальными нарушениями) (из строки 32);696;;;;;;
40;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;15;;;;;;
