;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателя;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Число классов с нормативным сроком освоения программ 9 лет, ед.;559;34;;;37;46;63;61;74;70;85;89;;;
2;В них обучающихся, чел.;3988;179;;;242;334;461;440;518;525;587;702;;;
3;Число классов с нормативным сроком освоения программ 10 лет, ед.;89;;12;10;13;16;11;6;7;6;2;6;;;
4;В них обучающихся, чел.;619;;74;69;97;97;86;56;52;49;13;26;;;
5;Число классов с нормативным сроком освоения программ 11 лет, ед.;18;1;1;;;2;1;2;1;;2;2;4;2;
6;В них обучающихся, чел.;115;5;5;;;8;8;5;8;;11;6;43;16;
7;Число классов с нормативным сроком освоения программ 12 лет, ед.;92;6;;;5;6;13;7;6;10;7;18;6;5;3
8;В них обучающихся, чел.;657;41;;;32;47;71;49;50;68;52;123;48;47;29
9;Число классов с нормативным сроком освоения программ 13 лет, ед.;40;;5;5;5;4;4;4;5;3;1;4;;;
10;В них обучающихся, чел.;190;;20;23;28;22;23;19;17;17;3;18;;;
11;Итого классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями), ед. (сумма строк 01, 03, 05, 07, 09);798;41;18;15;60;74;92;80;93;89;97;119;10;7;3
12;"В них обучающихся, чел. (сумма строк 02, 04, 06, 08, 10;    сумма строк 13-15)";5569;225;99;92;399;508;649;569;645;659;666;875;91;63;29
13;в том числе обучаются:          очно;5567;225;99;92;398;507;649;569;645;659;666;875;91;63;29
14;очно-заочно;2;;;;1;1;;;;;;;;;
15;заочно;;;;;;;;;;;;;;;
16;из них (из строки 12):       воспитанники (без приходящих учащихся);871;26;8;10;57;84;93;99;118;120;129;118;9;;
17;девочки;1923;68;32;29;130;182;225;184;234;237;211;319;31;26;15
18;лица с ограниченными возможностями здоровья;5569;225;99;92;399;508;649;569;645;659;666;875;91;63;29
19;из них (из строки 18):             инвалиды;99;7;;;;;5;;1;1;17;36;5;12;15
20;дети-инвалиды;2804;149;74;49;227;284;361;252;285;300;303;428;58;27;7
21;инвалиды (кроме учтенных в строке 19);;;;;;;;;;;;;;;
22;дети-инвалиды (кроме учтенных в строке 20);;;;;;;;;;;;;;;
23;дети-сироты и дети, оставшиеся без попечения родителей;516;7;4;2;20;35;55;47;69;69;67;127;8;4;2
24;из них воспитанники (без приходящих учащихся);129;5;2;1;5;14;13;17;21;14;19;17;1;;
25;обучающиеся иностранные граждане;13;3;;;;1;2;;2;;3;2;;;
26;из них девочки;4;2;;;;;;;;;2;;;;
27;обучающиеся лица без гражданства;;;;;;;;;;;;;;;
