;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 11);6601;305;121;154;608;681;656;722;748;695;879;854;94;59;25
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05) (сумма строк 06–10);5651;226;81;114;470;568;562;637;638;628;814;775;70;51;17
3;в том числе (из строки 02) обучались:       очно;5608;226;81;114;467;565;559;627;636;625;797;773;70;51;17
4;очно-заочно;26;;;;3;3;3;2;2;3;8;2;;;
5;заочно;17;;;;;;;8;;;9;;;;
6;в том числе (из строки 02)  по программам с нормативным    сроком освоения:       9 лет;4262;192;;;312;414;449;518;514;547;658;658;;;
7;10 лет;519;;67;90;87;76;57;50;47;13;25;6;1;;
8;11 лет;110;5;;;6;8;1;8;;12;7;27;18;18;
9;12 лет;596;29;;;39;47;33;47;57;53;106;84;51;33;17
10;13 лет;164;;14;24;26;23;22;14;20;3;18;;;;
11;Численность экстернов, окончивших данный класс (сумма строк 12–16);950;79;40;40;138;113;94;85;110;67;65;79;24;8;8
12;в том числе по программам с нормативным сроком освоения:       9 лет;302;45;;;43;37;23;29;49;21;23;32;;;
13;10 лет;155;;18;24;19;22;15;18;6;8;12;11;2;;
14;11 лет;41;;7;1;7;3;4;3;6;3;2;5;;;
15;12 лет;324;34;;;58;34;35;28;35;24;16;24;21;7;8
16;13 лет;128;;15;15;11;17;17;7;14;11;12;7;1;1;
17;Из строки 11 – обучались:       в форме семейного образования;889;77;32;37;127;105;85;80;106;63;63;75;24;7;8
18;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;;
