;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателя;Всего (сумма граф 04 - 16);Программы начального общего образования 1-й класс;Программы начального общего образования 2-й класс;Программы начального общего образования 3-й класс;Программы начального общего образования 4-й класс;Программы основного общего образования 5-й класс;Программы основного общего образования 6-й класс;Программы основного общего образования 7-й класс;Программы основного общего образования 8-й класс;Программы основного общего образования 9-й класс;Программы среднего общего образования 10-й класс;Программы среднего общего образования 11-й класс (выпускной);Программы среднего общего образования 11-й класс;Программы среднего общего образования 12-й класс
1;Число классов без углубленного изучения предметов, ед.;12179;1236;1277;1320;1375;1332;1392;1474;1394;1379;;;;
2;В них обучающихся, чел.;277336;27528;28459;29762;31521;30182;31968;34061;32201;31654;;;;
3;Число классов с углубленным изучением отдельных предметов, ед.;1171;;;;;2;1;2;1;1;637;519;5;3
4;В них обучающихся, чел.;18729;;;;;17;5;16;10;11;10978;7626;42;24
5;Число гимназических классов, ед.;82;7;7;10;10;7;7;9;8;10;2;5;;
6;В них обучающихся, чел.;2236;211;207;258;268;207;200;250;228;275;35;97;;
7;Число лицейских классов, ед.;22;1;1;1;1;2;2;2;2;3;3;4;;
8;В них обучающихся, чел.;390;22;14;10;5;26;31;40;47;55;51;89;;
9;Итого классов (без классов для обучающихся с ограниченными возможностями здоровья) (сумма строк 01, 03, 05, 07), ед.;13454;1244;1285;1331;1386;1343;1402;1487;1405;1393;642;528;5;3
10;"В них обучающихся (сумма строк 02, 04, 06, 08;  сумма строк 11 - 13), чел.";298691;27761;28680;30030;31794;30432;32204;34367;32486;31995;11064;7812;42;24
11;в том числе обучаются:          очно;298422;27761;28680;30030;31794;30425;32199;34357;32479;31978;10907;7812;;
12;очно-заочно;269;;;;;7;5;10;7;17;157;;42;24
13;заочно;;;;;;;;;;;;;;
14;Из строки 10:          воспитанники (без приходящих учащихся);;;;;;;;;;;;;;
15;девочки;146727;13607;14253;14795;15591;14898;15803;16722;15785;15821;5377;4055;10;10
16;оставленные на повторное обучение;225;15;18;10;54;18;20;21;23;23;23;;;
17;лица с ограниченными возможностями здоровья;2881;172;242;293;331;290;350;370;349;389;48;47;;
18;из них:                инвалиды;4;;;;;;;1;;1;1;1;;
19;дети-инвалиды;2434;159;211;250;288;225;289;311;291;326;45;39;;
20;инвалиды (кроме учтенных в строке 18);1;;;;;;;;;1;;;;
21;дети-инвалиды (кроме учтенных в строке 19);2225;96;96;139;140;138;181;235;250;509;202;239;;
22;дети-сироты и дети, оставшиеся без попечения родителей;259;8;14;19;21;28;19;39;36;47;19;9;;
23;из них воспитанники (без приходящих учащихся);;;;;;;;;;;;;;
24;обучающиеся иностранные граждане;406;52;59;37;53;52;37;40;25;44;3;4;;
25;из них девочки;170;19;21;16;20;25;12;18;9;26;2;2;;
26;обучающиеся лица без гражданства;3;;;1;;1;;;1;;;;;
