;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;18978;;66;18912;18755;223;
2;из них:        русский язык;994;;8;986;994;;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;40;;;40;40;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;9535;;14;9521;9354;181;
8;изобразительное искусство;;;;;;;
9;музыка;;;;;;;
10;труд (технология);;;;;;;
11;физическая культура;40;;;40;40;;
12;литература;3500;;;3500;3500;;
13;родная литература;;;;;;;
14;иностранный язык;212;;;212;212;;
15;из них:              английский;212;;;212;212;;
16;немецкий;;;;;;;
17;французский;;;;;;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;709;;8;701;694;15;
23;история;561;;5;556;561;;
24;обществознание;9736;;15;9721;9563;173;
25;география;176;;;176;169;7;
26;физика;313;;3;310;313;;
27;химия;5805;;7;5798;5770;35;
28;биология;5636;;20;5616;5601;35;
29;основы безопасности и защиты Родины;40;;;40;40;;
