;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);59579.99;59498.48;59326.16;48927;5196;929;2694;5276;5247;48847;80
2;в том числе:       руководящие работники – всего;2444.1;2443.1;2440.1;3460;53;1;42;1072;1069;2348;1
3;из них:             директор;534.5;533.5;532.5;532;9;;7;8;7;533;1
4;заместители директора;1891.6;1890.6;1888.6;2874;44;1;35;1002;999;1813;
5;руководитель филиала;;;;;;;;;;;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);38104.44;38031.93;37920.21;28723;3437;438;2216;3212;3200;28943;78
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);31446.38;31403.09;31314.15;23557;2096;285;1395;2131;2119;23506;53
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;9111.72;9099.72;9078.61;6507;334;82;226;519;514;6311;6
9;русского языка и литературы;3931.16;3931.16;3911.01;2708;196;8;146;196;195;2705;2
10;языка народов России и литературы;2882.5;2882.5;2879.4;2051;132;8;107;158;158;2033;2
11;истории, экономики, права, обществознания;1578.94;1578.94;1576.34;1228;101;12;68;89;87;1237;1
12;информатики;589.55;587.67;585.67;545;61;5;39;49;49;561;6
13;физики;822.5;817.5;816.16;620;83;4;44;52;51;650;2
14;математики;2725.16;2725.16;2720.59;1915;168;10;118;162;161;1923;3
15;химии;684.04;676.04;673.74;586;42;5;25;47;46;581;5
16;географии;777.54;774.54;773.14;655;59;7;35;47;47;667;5
17;биологии;866.56;863.56;861.36;718;57;8;39;53;52;720;5
18;иностранных языков;2057.09;2050.49;2049.04;1592;106;3;80;150;150;1546;11
19;из них:                         английского языка;2006.98;1992.18;1989.73;1540;104;3;78;128;128;1529;10
20;немецкого языка;19.5;19.5;19.5;26;1;;1;10;10;12;1
21;французского языка;;;;11;;;;8;8;1;
22;китайского языка;;;;;;;;;;;
23;физической культуры;1038.03;1038.03;1033.15;1023;43;7;29;161;161;893;1
24;труда (технологии);918.63;918.63;917.03;740;99;13;56;60;60;784;
25;музыки и пения;380.27;379.27;378.57;400;45;8;28;38;38;411;1
26;изобразительного искусства, черчения;356.43;355.43;355.43;369;47;6;24;28;28;390;1
27;основ безопасности и защиты Родины;471.44;470.44;469.9;443;59;12;32;18;18;486;1
28;основ духовно-нравственной культуры народов России;254.12;254.12;254.12;17;238;36;149;3;3;272;
29;прочих предметов;2000.7;1999.89;1980.89;1440;226;51;150;301;301;1336;1
30;учителя-логопеды;294.8;287.8;286.8;142;183;6;109;19;19;337;7
31;учителя-дефектологи;261.57;256.57;254.07;54;211;11;153;5;5;297;5
32;из них:                      олигофренопедагог;7.75;7.75;7.75;2;11;3;8;;;13;
33;тифлопедагог;12;12;12;;;;;;;4;
34;сурдопедагог;5.5;5.5;4;4;;;;;;4;
35;социальные педагоги;550.7;548.7;548.7;511;29;2;24;34;34;504;
36;педагоги дополнительного образования;1138.25;1132.03;1130.25;736;239;26;94;114;114;852;5
