;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);24150.29;21669.58;20122.06;16184;2164;430;1081;2257;2074;16091;1454
2;в том числе:       руководящие работники – всего;1186.87;1111.87;1067.87;996;90;;64;98;89;994;44
3;из них:             директор;377.33;366.33;354.33;366;19;;13;24;24;370;10
4;заместители директора;794.79;727.79;688.84;619;69;;50;70;60;623;31
5;руководитель филиала;1;;;;;;;;;;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);15862.96;14554.11;13507.69;10414;1396;142;915;1413;1304;10389;728
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);12596.4;12059.77;11262.93;8862;1053;90;706;1129;1041;8788;297
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;3279.11;3214.17;3060.4;2659;285;46;167;297;278;2635;30
9;русского языка и литературы;1590.86;1525.65;1440.9;1051;123;6;92;132;122;1051;35
10;языка народов России и литературы;590.94;572.56;534.81;475;37;1;25;40;38;475;10
11;истории, экономики, права, обществознания;782.03;755.16;703.6;536;63;4;47;65;61;527;12
12;информатики;279.74;254.85;233.83;187;22;3;10;18;17;190;18
13;физики;388.68;369.84;337.2;276;33;;29;34;32;277;14
14;математики;1291.79;1224.67;1141.67;791;103;2;75;124;112;772;53
15;химии;250.46;241.21;217.36;207;26;;17;31;27;203;9
16;географии;369.34;353.48;326.51;250;28;1;21;35;33;240;9
17;биологии;354;339.15;317.79;260;27;1;20;26;25;264;10
18;иностранных языков;1333.42;1249.1;1142.68;889;122;4;87;145;131;866;43
19;из них:                         английского языка;1290.35;1172.68;1068.95;856;116;2;81;132;120;853;38
20;немецкого языка;14.59;10.17;8.5;15;;;;4;3;8;2
21;французского языка;7.87;4.76;3.59;5;;;;3;2;2;2
22;китайского языка;;;;;;;;;;;
23;физической культуры;728.3;705.52;653.87;569;63;14;32;75;69;557;10
24;труда (технологии);485.85;458.8;420.69;294;34;2;21;30;27;299;15
25;музыки и пения;257.61;245.27;219.03;176;27;4;17;28;26;177;12
26;изобразительного искусства, черчения;150.48;143.15;131.12;111;16;;12;19;15;107;4
27;основ безопасности и защиты Родины;122.81;114.65;105.99;63;22;1;14;14;13;73;5
28;основ духовно-нравственной культуры народов России;37.3;34.34;30.28;4;2;;1;;;9;1
29;прочих предметов;303.68;258.2;245.2;64;20;1;19;16;15;66;7
30;учителя-логопеды;258.65;196.15;171.4;142;25;2;15;17;16;150;51
31;учителя-дефектологи;164.84;100.89;90.5;66;14;;10;15;15;64;59
32;из них:                      олигофренопедагог;14.12;11.57;11.57;10;1;;1;1;1;10;5
33;тифлопедагог;3;2.5;2;1;;;;;;1;
34;сурдопедагог;13.72;8.2;8.2;9;;;;1;1;8;1
35;социальные педагоги;394.18;354.15;331.93;240;54;4;38;39;37;254;19
36;педагоги дополнительного образования;408.25;263.48;208.49;80;38;5;25;27;26;88;69
37;педагоги-психологи;410.2;300.17;282.81;216;66;7;41;49;45;233;74
38;воспитатели;893.64;689.59;620.42;497;42;15;21;66;58;467;81
39;мастера производственного обучения;6.5;4.25;4.25;4;;;;1;1;3;3
40;тьюторы;103.8;66.38;62.55;32;11;3;8;7;7;40;26
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;139.45;131.95;120.2;42;34;7;21;3;3;85;4
42;другие;487.05;387.33;352.21;233;59;9;30;60;55;217;45
43;учебно-вспомогательный персонал;1375.92;1108.95;1021.25;848;111;22;56;117;102;836;151
44;иной персонал;5724.54;4894.65;4525.25;3926;567;266;46;629;579;3872;531
45;из них:             ассистент (помощник);45.6;22.5;21.15;5;7;4;3;1;1;13;22
46;сурдопереводчик;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;
48;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;379.8;365.63;331.61;343;16;7;7;34;29;348;7
