;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование образовательных программ;Численность обучающихся по образовательным программам - всего, чел;Сетевая форма реализации образовательных программ численность обучающихся (из графы 3) по программам, реализуемым с использованием сетевой формы - всего, чел;Сетевая форма реализации образовательных программ число органи-заций, с которыми заключены дого-воры на реализа-цию образователь-ных программ с использованием сетевой формы, единиц , ед;Электронное обучение численность обучающихся (из графы 3) с применением электронного обучения , чел;Электронное обучение в том числе (из графы 6) с применением исключительно электронного обучения, чел;Дистанционные образовательные технологии численность обучающихся (из графы 3) с применением дистанционных образовательных технологий, чел;Дистанционные образовательные технологии в том числе (из графы 8) с применением исключительно дистанционных образовательных технологий, чел
1;Всего по образовательным программам (сумма строк 02, 12, 22, 32);7053;;;;;;
2;Образовательные программы начального общего образования;2852;;;;;;
3;из них адаптированные;71;;;;;;
4;в том числе:           для глухих;;;;;;;
5;для слабослышащих и позднооглохших;;;;;;;
6;для слепых;;;;;;;
7;для слабовидящих;;;;;;;
8;с тяжелыми нарушениями речи;;;;;;;
9;с нарушениями опорно-двигательного аппарата;5;;;;;;
10;с задержкой психического развития;60;;;;;;
11;с расстройствами аутистического спектра;6;;;;;;
12;Образовательные программы основного общего образования;3307;;;;;;
13;из них адаптированные;112;;;;;;
14;в том числе:           для глухих;;;;;;;
15;для слабослышащих и позднооглохших;2;;;;;;
16;для слепых;;;;;;;
17;для слабовидящих;;;;;;;
18;с тяжелыми нарушениями речи;;;;;;;
19;с нарушениями опорно-двигательного аппарата;3;;;;;;
20;с задержкой психического развития;104;;;;;;
21;с расстройствами аутистического спектра;3;;;;;;
22;Образовательные программы среднего общего образования;745;;;;;;
23;из них адаптированные;1;;;;;;
24;в том числе:           для глухих;;;;;;;
25;для слабослышащих и позднооглохших;;;;;;;
26;для слепых;;;;;;;
27;для слабовидящих;;;;;;;
28;с тяжелыми нарушениями речи;;;;;;;
29;с нарушениями опорно-двигательного аппарата;;;;;;;
30;с задержкой психического развития;;;;;;;
31;с расстройствами аутистического спектра;1;;;;;;
32;Программы образования обучающихся с умственной отсталостью (интеллектуальными нарушениями);149;;;;;;
33;Справочно. Код по ОКЕИ: человек – 792  Из общей численности обучающихся (из графы 3 подраздела 1.3.) – лица, имеющие кохлеарные импланты и обучающиеся по программам:    начального общего образования (из строки 02);;;;;;;
34;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;;;;;;;
35;основного общего образования (из строки 12);;;;;;;
36;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;;;;;;;
37;среднего общего образования (из строки 22);;;;;;;
38;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;;;;;;;
39;образования обучающихся с умственной отсталостью    (интеллектуальными нарушениями) (из строки 32);57;;;;;;
40;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;2;;;;;;
