;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);1800;805;702;;3;;;442;199;156;208;404;1;;1486;
2;в том числе:       руководящие работники – всего;118;114;100;;;;;2;;2;29;80;;;97;
3;из них:             директор;41;41;39;;;;;;;;11;26;;;29;
4;заместители директора;77;73;60;;;;;2;;1;16;54;;;68;
5;руководитель филиала;;;;;;;;;;;;;;;;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);853;632;595;;3;;;202;191;;179;324;1;;738;245.9
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);616;509;485;;2;;;105;101;;162;269;1;;519;156.5
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;202;128;125;;;;;72;71;;48;92;;;200;60.5
9;русского языка и литературы;70;67;66;;;;;3;3;;28;25;;;70;
10;языка народов России и литературы;8;5;5;;;;;3;3;;;4;;;8;
11;истории, экономики, права, обществознания;41;41;38;;1;;;;;;13;15;;;33;
12;информатики;20;19;14;;;;;1;1;;5;9;;;10;
13;физики;14;14;14;;;;;;;;4;6;;;6;
14;математики;62;60;60;;;;;2;1;;15;30;1;;54;
15;химии;11;11;11;;;;;;;;7;2;;;11;
16;географии;13;13;12;;;;;;;;6;4;;;12;
17;биологии;20;20;19;;;;;;;;8;9;;;19;
18;иностранных языков;52;50;48;;1;;;2;2;;7;29;;;51;
19;из них:                         английского языка;52;49;48;;1;;;2;2;;7;28;;;51;
20;немецкого языка;;;;;;;;;;;;;;;;
21;французского языка;;;;;;;;;;;;;;;;
22;китайского языка;;;;;;;;;;;;;;;;
23;физической культуры;47;39;38;;;;;8;8;;15;23;;;13;
24;труда (технологии);28;21;16;;;;;7;7;;2;11;;;13;
25;музыки и пения;11;8;8;;;;;3;2;;3;4;;;10;
26;изобразительного искусства, черчения;5;2;2;;;;;3;2;;1;1;;;4;
27;основ безопасности и защиты Родины;8;7;5;;;;;1;1;;;5;;;2;
28;основ духовно-нравственной культуры народов России;;;;;;;;;;;;;;;;
29;прочих предметов;4;4;4;;;;;;;;;;;;3;
30;учителя-логопеды;14;14;13;;;;;;;;4;5;;;14;2
31;учителя-дефектологи;1;1;1;;;;;;;;;1;;;1;
32;из них:                   олигофренопедагог;1;1;1;;;;;;;;;1;;;1;
33;тифлопедагог;;;;;;;;;;;;;;;;
34;сурдопедагог;;;;;;;;;;;;;;;;
35;социальные педагоги;18;13;12;;;;;5;4;;1;5;;;18;8
36;педагоги дополнительного образования;31;19;16;;;;;10;8;;2;5;;;20;11
37;педагоги-психологи;23;21;20;;1;;;2;1;;4;7;;;20;7.5
38;воспитатели;138;46;41;;;;;77;74;;6;30;;;136;57
39;мастера производственного обучения;;;;;;;;;;;;;;;;
40;тьюторы;;;;;;;;;;;;;;;;
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;1;1;1;;;;;;;;;;;;1;1
42;другие;11;8;6;;;;;3;3;;;2;;;9;6
43;учебно-вспомогательный персонал;225;25;4;;;;;75;8;46;;;;;194;
44;иной персонал;604;34;3;;;;;163;;108;;;;;457;
45;из них:             ассистент (помощник);;;;;;;;;;;;;;;;22
46;сурдопереводчик;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;97;30;27;;;;;48;42;;4;24;;;96;
49;из них воспитатели;92;27;24;;;;;44;39;;3;19;;;92;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;32;32;31;;;;;;;;16;11;;;28;
51;из них учителя;32;32;31;;;;;;;;16;11;;;28;
52;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;31;23;22;;;;;8;7;;;11;;;26;
53;из них учителя - всего;25;19;19;;;;;6;6;;;11;;;22;
54;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;;;;;;;;;;;;;;;;
55;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;33;30;30;;;;;3;3;;11;11;;;28;
56;Из общей численности учителей-дефектологов (строка 31 графа 3) - учителя, имеющие специальное дефектологическое образование;;;;;;;;;;;;;;;;
57;Справочно. Код по ОКЕИ: человек – 792  Численность руководителей (из стр. 02, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;95;;;;;;;;;;;;;;;
58;из них директор;35;;;;;;;;;;;;;;;
59;Численность педагогических работников (из стр. 06, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;621;;;;;;;;;;;;;;;
60;из них учителя;416;;;;;;;;;;;;;;;
61;Кроме того (кроме стр. 01, гр. 03), численность медицинских работников (сумма строк 63, 64);1;;;;;;;;;;;;;;;
62;из них женщин;1;;;;;;;;;;;;;;;
63;в том числе:          врачи всех специальностей;;;;;;;;;;;;;;;;
64;медицинские сестры;1;;;;;;;;;;;;;;;
65;Из строки 07 графы 3 численность учителей, использующих в учебном процессе персональные компьютеры;502;;;;;;;;;;;;;;;
66;Из строки 06 графы 3 численность педагогических работников, осуществляющих классное руководство;464;;;;;;;;;;;;;;;
67;в том числе:       осуществляющих классное руководство в одном классе;460;;;;;;;;;;;;;;;
68;осуществляющих классное руководство в двух и более класса;4;;;;;;;;;;;;;;;
