;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);1800;114;83;173;242;237;951;975;48;47;84;135;105;556;825
2;в том числе:       руководящие работники – всего;118;;;2;14;14;88;104;;;1;17;5;81;14
3;из них:             директор;41;;;;3;2;36;41;;;1;4;1;35;
4;заместители директора;77;;;2;11;12;52;63;;;;13;4;46;14
5;руководитель филиала;;;;;;;;;;;;;;;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);853;29;30;63;97;105;529;850;43;43;77;113;100;474;3
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);616;15;13;38;66;73;411;615;18;18;48;80;74;377;1
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;202;6;5;8;19;23;141;202;6;7;10;19;26;134;
9;русского языка и литературы;70;1;1;4;3;5;56;70;1;1;5;5;5;53;
10;языка народов России и литературы;8;;;2;3;;3;8;;;2;3;;3;
11;истории, экономики, права, обществознания;41;1;;3;5;5;27;41;1;;3;8;4;25;
12;информатики;20;2;;1;6;2;9;20;2;;3;5;3;7;
13;физики;14;;;;2;;12;14;;;1;3;;10;
14;математики;62;1;3;2;4;5;47;62;2;2;3;4;7;44;
15;химии;11;;;;1;;10;11;;;;1;;10;
16;географии;13;;1;1;;4;7;13;1;;2;1;2;7;
17;биологии;20;;1;1;1;1;16;20;;1;1;2;2;14;
18;иностранных языков;52;1;2;6;10;12;21;51;1;2;8;8;12;20;1
19;из них:                         английского языка;52;1;2;6;10;12;21;51;1;2;8;8;12;20;1
20;немецкого языка;;;;;;;;;;;;;;;
21;французского языка;;;;;;;;;;;;;;;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;47;1;;6;8;9;23;47;1;2;5;13;7;19;
24;труда (технологии);28;1;;2;3;3;19;28;2;2;3;4;2;15;
25;музыки и пения;11;1;;2;;1;7;11;1;;2;1;1;6;
26;изобразительного искусства, черчения;5;;;;;1;4;5;;;;1;2;2;
27;основ безопасности и защиты Родины;8;;;;1;2;5;8;;1;;2;1;4;
28;основ духовно-нравственной культуры народов России;;;;;;;;;;;;;;;
29;прочих предметов;4;;;;;;4;4;;;;;;4;
30;учителя-логопеды;14;1;1;4;1;;7;14;2;1;3;1;;7;
31;учителя-дефектологи;1;;;;;;1;1;;;;;;1;
32;из них:                   олигофренопедагог;1;;;;;;1;1;;;;;;1;
33;тифлопедагог;;;;;;;;;;;;;;;
34;сурдопедагог;;;;;;;;;;;;;;;
35;социальные педагоги;18;1;1;3;2;2;9;18;1;2;4;2;;9;
36;педагоги дополнительного образования;31;1;1;5;3;4;17;31;5;3;5;5;5;8;
37;педагоги-психологи;23;1;1;3;7;6;5;23;2;1;5;6;4;5;
38;воспитатели;138;10;10;7;17;19;75;137;15;14;10;19;16;63;1
39;мастера производственного обучения;;;;;;;;;;;;;;;
40;тьюторы;;;;;;;;;;;;;;;
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;1;;;1;;;;1;;;1;;;;
42;другие;11;;3;2;1;1;4;10;;4;1;;1;4;1
43;учебно-вспомогательный персонал;225;18;11;21;44;32;99;10;2;2;1;4;;1;215
44;иной персонал;604;67;42;87;87;86;235;11;3;2;5;1;;;593
45;из них:             ассистент (помощник);;;;;;;;;;;;;;;
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;97;7;7;7;15;9;52;97;11;10;9;14;11;42;
49;из них воспитатели;92;7;6;7;15;9;48;92;11;10;8;14;11;38;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;32;;;1;1;5;25;32;;;1;2;5;24;
51;из них учителя;32;;;1;1;5;25;32;;;1;2;5;24;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
