;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);75;197;1193;3272
2;в том числе       инженерные;7;42;129;738
3;медицинские;4;32;72;550
4;космические;;;;
5;педагогические;11;34;109;359
6;аграрные;2;2;27;14
7;предпринимательские;;6;;105
8;кадетские;12;5;255;79
9;IT-классы;1;9;9;203
10;другие;38;67;592;1224
