;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);12243;949;716;1397;1562;1503;6116;8144;878;518;943;1044;878;3883;4099
2;в том числе:       руководящие работники – всего;658;11;10;33;74;85;445;513;12;17;29;60;59;336;145
3;из них:             директор;117;1;;1;8;7;100;114;;;4;7;11;92;3
4;заместители директора;504;9;10;30;62;74;319;390;11;17;24;52;46;240;114
5;руководитель филиала;;;;;;;;;;;;;;;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);7496;597;405;777;907;883;3927;7448;835;476;894;961;800;3482;48
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);5533;379;297;562;659;607;3029;5512;475;334;627;700;571;2805;21
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1600;114;77;156;148;150;955;1594;126;90;167;159;148;904;6
9;русского языка и литературы;634;40;37;45;51;61;400;634;49;42;50;60;59;374;
10;языка народов России и литературы;35;3;1;1;2;7;21;35;4;1;;4;7;19;
11;истории, экономики, права, обществознания;336;26;24;37;48;34;167;335;31;24;40;48;36;156;1
12;информатики;185;9;10;29;30;28;79;184;13;12;30;27;30;72;1
13;физики;158;8;5;14;28;13;90;158;9;6;18;26;13;86;
14;математики;520;30;32;49;63;51;295;518;52;32;49;62;51;272;2
15;химии;104;6;3;9;6;8;72;103;5;7;7;7;5;72;1
16;географии;131;9;5;6;11;12;88;130;10;5;8;15;11;81;1
17;биологии;151;10;7;23;15;6;90;150;12;7;25;12;8;86;1
18;иностранных языков;670;60;39;77;106;140;248;666;67;40;90;116;122;231;4
19;из них:                         английского языка;631;58;38;68;99;136;232;627;63;39;81;110;119;215;4
20;немецкого языка;29;;1;6;5;4;13;29;2;1;6;4;3;13;
21;французского языка;8;;;3;2;;3;8;;;3;2;;3;
22;китайского языка;2;2;;;;;;2;2;;;;;;
23;физической культуры;453;30;30;71;80;44;198;452;45;31;79;85;38;174;1
24;труда (технологии);241;11;11;13;32;21;153;241;21;16;24;36;14;130;
25;музыки и пения;105;7;2;13;12;8;63;105;9;2;16;14;5;59;
26;изобразительного искусства, черчения;78;6;4;5;11;10;42;77;6;7;5;12;10;37;1
27;основ безопасности и защиты Родины;51;5;6;6;9;4;21;51;8;5;7;10;7;14;
28;основ духовно-нравственной культуры народов России;1;;;1;;;;1;;1;;;;;
29;прочих предметов;80;5;4;7;7;10;47;78;8;6;12;7;7;38;2
30;учителя-логопеды;187;20;10;20;23;22;92;186;24;13;17;32;18;82;1
31;учителя-дефектологи;86;13;5;9;11;15;33;86;16;6;12;13;12;27;
32;из них:                   олигофренопедагог;10;2;;;2;2;4;10;3;2;;1;1;3;
33;тифлопедагог;1;;;;;;1;1;;;;;;1;
34;сурдопедагог;1;;;;1;;;1;;;;1;;;
35;социальные педагоги;180;15;6;14;20;27;98;180;27;10;24;22;21;76;
36;педагоги дополнительного образования;168;30;12;16;14;19;77;166;51;12;16;11;15;61;2
37;педагоги-психологи;288;33;15;38;53;47;102;287;57;21;44;52;37;76;1
38;воспитатели;588;37;29;69;76;89;288;578;68;44;94;80;74;218;10
39;мастера производственного обучения;4;;;;;;4;4;;;2;1;1;;
40;тьюторы;93;18;12;11;13;12;27;91;33;10;9;13;8;18;2
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;16;5;1;4;1;3;2;15;5;2;4;1;3;;1
42;другие;353;47;18;34;37;42;175;343;79;24;45;36;40;119;10
43;учебно-вспомогательный персонал;910;84;68;98;134;125;401;75;14;10;9;12;7;23;835
44;иной персонал;3179;257;233;489;447;410;1343;108;17;15;11;11;12;42;3071
45;из них:             ассистент (помощник);9;1;2;4;1;1;;;;;;;;;9
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;166;15;7;17;20;19;88;164;18;14;23;19;23;67;2
49;из них воспитатели;139;13;7;17;18;18;66;137;17;14;21;15;18;52;2
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;21;2;1;1;2;4;11;21;2;1;1;2;4;11;
51;из них учителя;21;2;1;1;2;4;11;21;2;1;1;2;4;11;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
