;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;370
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;365
3;Коллегиальные органы управления;368
4;в том числе:       общее собрание;266
5;педагогический совет;362
6;попечительский совет;24
7;управляющий совет;198
8;наблюдательный совет;36
9;другие;54
10;Советы обучающихся;259
11;Советы родителей;249
12;Профессиональные союзы работников;180
13;из строки 03 с участием общественности (родителей, работодателей);268
14;Организация реализует профориентационный минимум;343
15;в том числе:       на базовом уровне;130
16;на основном уровне;182
17;на продвинутом уровне;37
