;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;23407;3226;9085;11096;23198;162;47
2;из них:        русский язык;181;;181;;181;;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;9007;25;3389;5593;9005;2;
8;изобразительное искусство;160;;160;;160;;
9;музыка;;;;;;;
10;труд (технология);;;;;;;
11;физическая культура;;;;;;;
12;литература;845;;;845;844;1;
13;родная литература;;;;;;;
14;иностранный язык;8395;3201;4306;888;8391;1;3
15;из них:              английский;6500;2452;3225;823;6496;1;3
16;немецкий;1023;414;589;20;1023;;
17;французский;901;364;492;45;901;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;3446;;860;2586;3446;;
23;история;1191;;115;1076;1146;2;43
24;обществознание;6202;;56;6146;6054;148;
25;география;603;;;603;589;14;
26;физика;1902;;831;1071;1859;;43
27;химия;1522;;136;1386;1521;;1
28;биология;3494;;282;3212;3337;156;1
29;основы безопасности и защиты Родины;;;;;;;
