;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 11);1910;83;49;17;178;218;200;217;215;284;238;187;9;15;
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05) (сумма строк 06–10);1904;82;49;17;177;217;200;215;214;284;238;187;9;15;
3;в том числе (из строки 02) обучались:       очно;1904;82;49;17;177;217;200;215;214;284;238;187;9;15;
4;очно-заочно;;;;;;;;;;;;;;;
5;заочно;;;;;;;;;;;;;;;
6;в том числе (из строки 02)  по программам с нормативным    сроком освоения:       9 лет;1211;78;;;109;123;124;137;134;186;170;150;;;
7;10 лет;152;;18;13;9;22;19;10;11;32;5;4;9;;
8;11 лет;69;4;;1;8;9;2;12;5;7;8;;;13;
9;12 лет;395;;;;47;57;50;49;57;47;55;31;;2;
10;13 лет;77;;31;3;4;6;5;7;7;12;;2;;;
11;Численность экстернов, окончивших данный класс (сумма строк 12–16);6;1;;;1;1;;2;1;;;;;;
12;в том числе по программам с нормативным сроком освоения:       9 лет;5;1;;;;1;;2;1;;;;;;
13;10 лет;;;;;;;;;;;;;;;
14;11 лет;;;;;;;;;;;;;;;
15;12 лет;1;;;;1;;;;;;;;;;
16;13 лет;;;;;;;;;;;;;;;
17;Из строки 11 – обучались:       в форме семейного образования;6;1;;;1;1;;2;1;;;;;;
18;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;;
