;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
№ строки;Наименование показателей;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Всего (сумма граф 9–11);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них лица с ограни- ченными возможностя- ми здоровья;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них из графы 4 инвалиды;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них из графы 4 дети-инвалиды;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них инвалиды (кроме учтенных в графе 5);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них дети-инвалиды (кроме учтенных в графе 6);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались очно;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались очно-заочно;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались заочно;Классы для обучающихся с ограниченными возможностями здоровья Всего;Классы для обучающихся с ограниченными возможностями здоровья из них лица с ограни- ченными возможностя- ми здоровья;Классы для обучающихся с ограниченными возможностями здоровья из них из графы 13 инвалиды;Классы для обучающихся с ограниченными возможностями здоровья из них из графы 13 дети-инвалиды;Классы для обучающихся с ограниченными возможностями здоровья из них инвалиды (кроме учтенных в графе 14);Классы для обучающихся с ограниченными возможностями здоровья из них дети-инвалиды (кроме учтенных в графе 15);Итого по всем классам (сумма граф 3, 12);Кроме того, численность экстернов;из них лица с ограни- ченными возможностя- ми здоровья;из них из графы 20 инвалиды;из них из графы 20 дети-инвалиды;из них инвалиды (кроме учтенных в графе 21);из них дети-инвалиды (кроме учтенных в графе 22)
1;Численность обучающихся (гр. 3–18) и экстернов (гр. 19–24), допущенных к ГИА по образовательным программам основного общего образования (сумма строк 02, 04, 05);13006;692;3;47;3;86;12723;246;37;406;387;5;7;;1;13412;164;8;;1;;3
2;в том числе:       получили аттестат об основном общем образовании;12785;683;3;46;3;86;12544;204;37;405;386;5;7;;1;13190;129;7;;1;;3
3;из них (из строки 02) продолжили обучение по образовательной          программе среднего общего образования в данной организации;4390;21;1;10;;30;4345;45;;17;16;2;;;;4407;;;;;;
4;получили на ГИА неудовлетворительные результаты;196;1;;;;;156;40;;;;;;;;196;28;1;;;;
5;не участвовали в ГИА;25;8;;1;;;23;2;;1;1;;;;;26;7;;;;;
6;Из строки 02 получили аттестат об основном общем образовании:    с отличием;591;7;;2;;1;591;;;3;1;;;;;594;4;;;;;
7;в IV квартале прошлого года;80;3;;;;;80;;;;;;;;;80;;;;;;
8;после 1 сентября текущего года;345;7;;1;;2;315;25;5;1;;;;;;346;9;;;;;
9;Численность обучающихся (графы 3–18) и экстернов (графы 19–24), допущенных к ГИА по образовательным программам среднего общего образования (сумма строк 10–12);4919;21;2;15;3;26;4852;53;14;3;3;;;;3;4922;69;;;;;
10;в том числе:       получили аттестат о среднем общем образовании;4900;20;2;14;3;26;4842;44;14;3;3;;;;3;4903;61;;;;;
11;получили на ГИА неудовлетворительные результаты;12;;;;;;8;4;;;;;;;;12;5;;;;;
12;не участвовали в ГИА;7;1;;1;;;2;5;;;;;;;;7;3;;;;;
13;Из строки 10 получили аттестат о среднем общем образовании:    с отличием и медаль «За особые успехи в учении»;783;1;;1;;9;781;2;;;;;;;;783;4;;;;;
14;в IV квартале прошлого года;54;;;;;;54;;;;;;;;;54;;;;;;
15;после 1 сентября текущего года;36;;;;;;36;;;;;;;;;36;;;;;;
16;Из общей численности участвовавших в ГИА (из суммы строк 10 и 11)    участвовали в едином государственном экзамене (ЕГЭ)*;4816;19;2;14;3;24;4775;38;3;3;3;;;;3;4819;64;;;;;
17;участвовали в ЕГЭ по русскому языку (из строки 16);4813;18;2;13;3;22;4772;38;3;;;;;;;4813;63;;;;;
18;из них сдали ЕГЭ;4779;18;2;13;3;22;4739;37;3;;;;;;;4779;60;;;;;
19;участвовали в ЕГЭ по математике (из строки 16);4769;18;2;12;3;21;4728;38;3;;;;;;;4769;63;;;;;
20;из них сдали ЕГЭ;4704;18;2;12;3;21;4667;34;3;;;;;;;4704;58;;;;;
21;участвовали в ГИА в иной (кроме ЕГЭ) форме*;96;1;;;;2;75;10;11;;;;;;;96;2;;;;;
22;Выпущено лиц, не получивших основного общего и среднего общего образования, со свидетельством об обучении;88;46;;12;;;80;8;;183;181;8;37;1;;271;2;;;;;
