;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);16782;10697;9432;;70;;1;3515;1242;1422;3102;3651;8;34;14302;
2;в том числе:       руководящие работники – всего;1589;1483;1167;;16;;1;90;20;4;297;185;;7;1424;
3;из них:             директор;356;351;341;;8;;;4;4;;94;65;;;310;
4;заместители директора;1052;988;772;;8;;1;57;12;2;185;112;;6;935;
5;руководитель филиала;4;3;3;;;;;1;;;;1;;;3;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);9800;8413;8074;;53;;;1275;1146;24;2802;3460;8;27;8871;10218.2
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);8031;7080;6852;;44;;;873;802;9;2535;2976;5;25;7191;8451
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2429;1907;1900;;1;;;495;489;1;696;914;;13;2421;2504.9
9;русского языка и литературы;939;895;888;;11;;;39;39;;365;351;1;4;925;
10;языка народов России и литературы;;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;471;454;432;;9;;;10;8;;171;169;;1;367;
12;информатики;196;186;164;;;;;8;6;;73;69;;;154;
13;физики;227;224;206;;2;;;2;2;;103;77;1;;185;
14;математики;726;704;682;;1;;;19;14;;250;288;;;700;
15;химии;185;182;177;;1;;;2;2;;76;68;;1;180;
16;географии;242;233;228;;1;;;5;5;1;87;87;;1;213;
17;биологии;239;237;228;;7;;;1;1;;106;79;1;1;218;
18;иностранных языков;936;888;870;;4;;;37;36;3;208;372;2;2;887;
19;из них:                         английского языка;778;729;706;;4;;;30;29;2;159;300;;2;733;
20;немецкого языка;113;106;104;;;;;6;6;1;33;52;;;110;
21;французского языка;39;39;39;;;;;;;;16;11;;;38;
22;китайского языка;1;1;1;;;;;;;;;;;;1;
23;физической культуры;621;510;500;;1;;;109;103;;201;214;;2;311;
24;труда (технологии);340;275;225;;1;;;58;32;4;81;119;;;213;
25;музыки и пения;171;128;123;;1;;;43;31;;51;78;;;161;
26;изобразительного искусства, черчения;116;92;85;;2;;;22;15;;34;43;;;112;
27;основ безопасности и защиты Родины;59;53;43;;1;;;5;4;;10;25;;;23;
28;основ духовно-нравственной культуры народов России;12;11;11;;;;;1;;;2;3;;;11;
29;прочих предметов;122;101;90;;1;;;17;15;;21;20;;;110;
30;учителя-логопеды;165;159;156;;1;;;5;5;;31;54;;1;165;173.4
31;учителя-дефектологи;90;86;84;;;;;3;3;;13;20;;;90;93
32;из них:                   олигофренопедагог;35;34;34;;;;;;;;4;4;;;35;32.7
33;тифлопедагог;;;;;;;;;;;;;;;;
34;сурдопедагог;1;1;1;;;;;;;;1;;;;1;1.2
35;социальные педагоги;159;121;111;;1;;;36;27;2;22;49;;;153;148.7
36;педагоги дополнительного образования;93;64;56;;;;;25;10;1;25;17;;;74;104.2
37;педагоги-психологи;245;242;231;;3;;;2;2;;47;69;;;227;234.3
38;воспитатели;601;332;297;;1;;;258;240;8;82;201;;;596;571.3
39;мастера производственного обучения;2;2;;;;;;;;;;;;;;1
40;тьюторы;18;14;11;;1;;;4;3;;;4;;1;17;22.5
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;176;147;132;;;;;24;19;2;10;30;;;165;140
42;другие;220;166;144;;2;;;45;35;2;37;40;3;;193;184.3
43;учебно-вспомогательный персонал;1105;417;116;;;;;441;38;119;2;6;;;1030;
44;иной персонал;4288;384;75;;1;;;1709;38;1275;1;;;;2977;
45;из них:             ассистент (помощник);12;3;1;;;;;4;1;2;;;;;12;53.5
46;сурдопереводчик;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;1
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;340;189;173;;;;;141;129;3;36;110;;;339;
49;из них воспитатели;296;150;138;;;;;136;124;3;31;95;;;295;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;44;43;43;;1;;;;;;7;5;;;40;
