;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);16782;1001;555;1190;1586;1532;10918;11131;1077;632;1199;1211;872;6140;5651
2;в том числе:       руководящие работники – всего;1589;5;7;48;126;180;1223;1214;28;29;87;126;119;825;375
3;из них:             директор;356;2;1;5;15;22;311;352;1;4;10;17;24;296;4
4;заместители директора;1052;3;6;39;101;129;774;829;22;22;72;106;92;515;223
5;руководитель филиала;4;;;;;1;3;3;;;;2;;1;1
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);9800;849;473;888;1037;818;5735;9735;1022;589;1090;1066;732;5236;65
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);8031;657;387;688;793;604;4902;7990;741;450;830;834;557;4578;41
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2429;230;164;233;217;148;1437;2419;242;170;249;223;154;1381;10
9;русского языка и литературы;939;45;36;59;63;64;672;934;47;40;69;77;60;641;5
10;языка народов России и литературы;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;471;40;22;47;58;26;278;468;44;23;59;61;25;256;3
12;информатики;196;13;5;17;41;20;100;196;16;10;21;44;14;91;
13;физики;227;10;4;11;20;9;173;227;12;5;12;19;11;168;
14;математики;726;42;17;36;45;42;544;721;59;27;51;40;32;512;5
15;химии;185;9;2;4;20;5;145;183;9;5;6;20;5;138;2
16;географии;242;25;9;20;10;10;168;242;28;11;22;10;10;161;
17;биологии;239;14;5;10;16;15;179;239;17;6;16;15;14;171;
18;иностранных языков;936;117;42;102;147;144;384;929;122;46;124;153;127;357;7
19;из них:                         английского языка;778;111;37;88;133;122;287;772;114;41;106;136;110;265;6
20;немецкого языка;113;1;2;9;9;15;77;112;3;2;12;11;10;74;1
21;французского языка;39;4;1;4;4;6;20;39;4;1;5;5;6;18;
22;китайского языка;1;;1;;;;;1;;1;;;;;
23;физической культуры;621;65;52;86;77;61;280;617;75;61;99;78;52;252;4
24;труда (технологии);340;15;13;27;27;24;234;339;25;22;49;36;23;184;1
25;музыки и пения;171;10;4;9;19;14;115;171;12;6;8;21;14;110;
26;изобразительного искусства, черчения;116;5;4;4;10;10;83;114;9;6;8;10;7;74;2
27;основ безопасности и защиты Родины;59;2;4;7;5;2;39;59;6;5;12;9;3;24;
28;основ духовно-нравственной культуры народов России;12;1;;2;1;;8;11;;;2;1;;8;1
29;прочих предметов;122;14;4;14;17;10;63;121;18;7;23;17;6;50;1
30;учителя-логопеды;165;22;11;18;23;24;67;163;25;17;23;19;22;57;2
31;учителя-дефектологи;90;5;8;27;15;10;25;90;10;10;29;14;7;20;
32;из них:                   олигофренопедагог;35;1;4;14;3;4;9;35;4;3;13;4;3;8;
33;тифлопедагог;;;;;;;;;;;;;;;
34;сурдопедагог;1;;;;;;1;1;;;;;;1;
35;социальные педагоги;159;13;4;14;18;18;92;156;25;6;24;15;14;72;3
36;педагоги дополнительного образования;93;13;2;5;7;12;54;93;19;6;7;11;8;42;
37;педагоги-психологи;245;31;16;28;54;35;81;243;41;20;40;48;30;64;2
38;воспитатели;601;39;19;42;64;64;373;599;72;35;66;71;57;298;2
39;мастера производственного обучения;2;;;;;;2;;;;;;;;2
40;тьюторы;18;;;3;4;1;10;18;;1;5;4;3;5;
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;176;39;17;36;27;25;32;171;51;24;39;20;17;20;5
42;другие;220;30;9;27;32;25;97;212;38;20;27;30;17;80;8
43;учебно-вспомогательный персонал;1105;48;14;61;132;171;679;124;24;9;17;6;12;56;981
44;иной персонал;4288;99;61;193;291;363;3281;58;3;5;5;13;9;23;4230
45;из них:             ассистент (помощник);12;1;1;;2;1;7;2;;;;;1;1;10
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;340;20;8;25;45;51;191;339;38;16;37;49;34;165;1
49;из них воспитатели;296;18;5;18;40;40;175;295;35;13;27;41;28;151;1
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;44;2;1;3;2;1;35;44;3;1;4;3;1;32;
51;из них учителя;36;1;1;2;1;1;30;36;2;1;2;3;1;27;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
