Таблица;Название таблицы;Название колонки;Название строки;Год;Значение
3.2;;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);педагогические работники - всего (сумма строк 07, 28,29, 33-39);2021;1311282
3.2;;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);педагогические работники - всего (сумма строк 07, 28,29, 33-39);2022;1304835
3.2;;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);педагогические работники - всего (сумма строк 07, 28,29, 33-39);2023;1301172
3.2;;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);педагогические работники - всего (сумма строк 07, 28,29, 33-39);2024;1304835
3.2;;Из графы 10 – имеют педагогический стаж работы, лет до 3;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2021;130963
3.2;;Из графы 10 – имеют педагогический стаж работы, лет до 3;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2022;135957
3.2;;Из графы 10 – имеют педагогический стаж работы, лет до 3;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2023;140565
3.2;;Из графы 10 – имеют педагогический стаж работы, лет до 3;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2024;135957
3.2;;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2021;83900
3.2;;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2022;84449
3.2;;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2023;84029
3.2;;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2024;84449
3.2;;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2021;155631
3.2;;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2022;154904
3.2;;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2023;152914
3.2;;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2024;154904
3.2;;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2021;135692
3.2;;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2022;140292
3.2;;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2023;142543
3.2;;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2024;140292
3.2;;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2021;127202
3.2;;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2022;123341
3.2;;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2023;123262
3.2;;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2024;123341
3.2;;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2021;677894
3.2;;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2022;665892
3.2;;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2023;657859
3.2;;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;педагогические работники - всего (сумма строк 07, 28,29, 33-39);2024;665892
