;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52
№ строки;Наименование показателя;Всего (сумма граф 4-47);Программы начального общего образования с нормативным сроком обучения 4 года 1-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 2-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 3-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 4-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 5 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 2 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 2 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс второго года обучения;Из общей численности обучающихся (из гр. 3): лица с ограниче- нными возможно- стями здоровья;Из общей численности обучающихся (из гр. 3): из них: инвалиды;Из общей численности обучающихся (из гр. 3): из них: дети-инвалиды;Из общей численности обучающихся (из гр. 3): инвалиды  (кроме учтенных в гр. 49);Из общей численности обучающихся (из гр. 3): дети-инвалиды  (кроме учтенных в гр. 50)
1;Число классов для глухих, ед.;1256;39;38;41;44;38;46;28;43;12;9;45;15;11;31;36;40;32;37;36;36;32;42;19;6;56;12;8;73;9;4;64;15;9;35;60;66;33;29;9;;;5;7;6;;;;;
2;В них обучающихся, чел.;6979;198;212;215;244;222;220;154;253;74;48;257;80;49;176;184;194;215;231;236;218;222;218;110;33;306;69;35;379;59;21;347;90;51;190;302;335;182;168;66;;;29;47;40;4771;453;4127;8;64
3;Число классов для слабослышащих и позднооглохших, ед.;1298;31;32;32;32;48;72;29;68;22;9;62;20;11;34;50;61;18;14;17;19;11;47;34;20;68;19;5;69;16;7;77;28;15;30;53;63;24;15;5;;;2;3;6;;;;;
4;В них обучающихся, чел.;8201;200;208;221;203;278;435;165;433;143;47;381;124;60;234;292;360;118;103;111;106;64;319;224;124;421;120;26;474;108;40;511;183;85;220;325;409;148;74;29;;;14;23;38;6160;360;5150;9;175
5;Число классов для слепых, ед.;251;8;13;15;18;12;9;2;9;2;;5;2;2;3;2;;6;3;5;3;5;12;5;;11;2;;17;3;;11;1;;3;12;15;20;13;;;;;1;1;;;;;
6;В них обучающихся, чел:       cлепых;1220;27;61;61;74;72;55;17;51;2;;24;17;18;20;7;;18;18;27;19;22;65;34;;53;13;;76;19;;63;4;;14;56;68;86;55;;;;;3;1;1025;45;949;;
7;слабовидящих и поздноослепших;469;20;26;17;27;22;20;3;15;18;;12;;;2;5;;19;;8;11;18;11;5;;21;;;45;6;;34;;;3;21;25;37;15;;;;;;3;299;2;195;;
8;Число классов для слабовидящих и поздноослепших, ед.;1553;110;150;164;178;43;28;3;20;2;;10;1;;5;1;2;46;36;40;35;36;82;10;;95;3;;86;4;;88;5;2;25;66;74;39;45;3;;;8;4;4;;;;;
9;В них обучающихся, чел:       слабовидящих и поздноослепших;13819;1276;1562;1584;1766;338;238;31;159;17;;88;3;;26;3;10;436;349;338;326;310;690;73;;801;28;;722;25;;703;28;23;186;557;591;217;239;18;;;34;15;9;9415;101;3085;23;
