;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателей;Численность обучающихся по программам начального общего образования - всего (1–4 классы;Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования - всего (5–9 классы);Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования - всего (10–11(12) классы;Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 10-х классов без оставленных на повторное обучение
1;Всего;2573;1196;445;20310;5417;735;45716;13341;14560
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;1;;;;;;;;
3;6 лет;111;54;76;;;;;;
4;7 лет;497;242;247;;;;;;
5;8 лет;614;299;79;4;;;;;
6;9 лет;521;258;6;4;1;1;;;
7;10 лет;439;198;5;171;81;60;;;
8;11 лет;77;32;;445;210;214;;;
9;12 лет;16;3;;530;240;59;;;
10;13 лет;14;3;;665;284;37;12;;
11;14 лет;7;3;;959;345;35;19;2;5
12;15 лет;2;1;;2029;714;15;449;206;333
13;16 лет;3;1;;2397;798;15;2650;1371;1782
14;17 лет;4;1;;2009;657;18;4959;2472;1520
15;18 лет;4;1;;1463;484;20;4260;2090;989
16;19 лет;5;1;;879;220;7;2799;1149;754
17;20 лет;8;2;;729;155;20;2571;770;781
18;21 год;13;6;3;603;98;15;2615;611;881
19;22 года;19;4;1;567;108;26;2389;522;740
20;23 года;13;2;2;605;112;27;2414;433;775
21;24 года;31;13;3;720;102;36;2596;410;859
22;25 лет;22;10;2;776;99;32;2508;348;852
23;26 лет;22;5;1;723;96;14;2437;341;722
24;27 лет;28;8;6;758;97;24;2435;377;795
25;28 лет;28;10;4;750;101;17;2425;411;727
26;29 лет;30;17;2;825;92;13;2275;368;701
27;30–34 года;23;11;6;1027;184;12;3612;852;818
28;35–39 лет;11;5;1;383;81;9;1485;380;344
29;40 лет и старше;10;6;1;289;58;9;806;228;182
