;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателей;Численность обучающихся по программам: начального общего образования – всего;Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся 1-го класса или 1-го класса первого года обучения по пролонгиро-ванным программам;Численность обучающихся по программам: основного общего образования – всего;Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся 5-го класса или 5-го класса первого года обучения по пролонгиро-ванным программам;Численность обучающихся по программам: среднего общего образования – всего;Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся 10-го класса или 10-го класса первого года обучения по пролонгиро-ванным программам;Численность обучающихся по программам: образование обучающихся с умственной отсталостью (интеллекту-альными нарушениями);Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся первого года обучения
1;Всего;151;48;15;96;26;9;18;7;0;234;79;20
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;;;;;;;;1;;
3;6 лет;3;2;;;;;;;;;;
4;7 лет;12;1;8;;;;;;;1;1;1
5;8 лет;11;5;2;;;;;;;12;5;10
6;9 лет;20;7;2;;;;;;;23;9;5
7;10 лет;23;4;1;;;;;;;25;7;1
8;11 лет;23;8;2;12;5;4;;;;26;8;
9;12 лет;21;5;;19;5;4;;;;33;12;2
10;13 лет;13;5;;20;3;1;;;;26;8;1
11;14 лет;8;2;;15;5;;;;;23;6;
12;15 лет;9;4;;15;3;;;;;21;8;
13;16 лет;5;4;;7;4;;4;2;;17;5;
14;17 лет;2;1;;2;1;;1;1;;14;3;
15;18 лет;;;;1;;;2;;;9;6;
16;19 лет;;;;1;;;3;1;;2;1;
17;20 лет;;;;;;;3;1;;1;;
18;21 год;;;;;;;;;;;;
19;22 года;;;;;;;1;;;;;
20;23 года;;;;2;;;;;;;;
21;24 года;;;;;;;1;1;;;;
22;25 лет;1;;;1;;;;;;;;
23;26 лет;;;;;;;2;;;;;
24;27 лет;;;;;;;1;1;;;;
25;28 лет;;;;;;;;;;;;
26;29 лет;;;;;;;;;;;;
27;30–34 года;;;;1;;;;;;;;
28;35–39 лет;;;;;;;;;;;;
29;40 лет и старше;;;;;;;;;;;;
