;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателя;Всего (сумма граф 04 - 16);Программы начального общего образования 1-й класс;Программы начального общего образования 2-й класс;Программы начального общего образования 3-й класс;Программы начального общего образования 4-й класс;Программы основного общего образования 5-й класс;Программы основного общего образования 6-й класс;Программы основного общего образования 7-й класс;Программы основного общего образования 8-й класс;Программы основного общего образования 9-й класс;Программы среднего общего образования 10-й класс;Программы среднего общего образования 11-й класс (выпускной);Программы среднего общего образования 11-й класс;Программы среднего общего образования 12-й класс
1;Число классов без углубленного изучения предметов, ед.;5865;13;19;28;27;79;121;217;533;1008;1398;503;979;940
2;В них обучающихся, чел.;84888;50;105;246;210;651;979;2133;6246;14158;22282;9050;14697;14081
3;Число классов с углубленным изучением отдельных предметов, ед.;1;;;;;;;;;1;;;;
4;В них обучающихся, чел.;1;;;;;;;;;1;;;;
5;Число гимназических классов, ед.;;;;;;;;;;;;;;
6;В них обучающихся, чел.;;;;;;;;;;;;;;
7;Число лицейских классов, ед.;;;;;;;;;;;;;;
8;В них обучающихся, чел.;;;;;;;;;;;;;;
9;Итого классов (без классов для обучающихся с ограниченными возможностями здоровья) (сумма строк 01, 03, 05, 07), ед.;5866;13;19;28;27;79;121;217;533;1009;1398;503;979;940
10;В них обучающихся (сумма строк 02, 04, 06, 08, 11 - 13), чел.;84889;50;105;246;210;651;979;2133;6246;14159;22282;9050;14697;14081
11;в том числе обучаются:          очно;21396;14;22;29;49;134;228;506;1561;3706;6351;2793;3248;2755
12;очно-заочно;62616;29;78;211;153;491;719;1575;4669;10369;15726;6207;11243;11146
13;заочно;877;7;5;6;8;26;32;52;16;84;205;50;206;180
14;Из строки 10:          воспитанники (без приходящих учащихся);1154;2;4;7;3;12;4;6;126;151;349;161;176;153
15;девочки;22064;21;37;100;106;197;309;425;1242;4137;5413;3323;3215;3539
16;оставленные на повторное обучение;3409;;1;;11;17;27;88;401;1984;487;18;292;83
17;лица с ограниченными возможностями здоровья;591;;;;;8;12;49;61;251;101;60;18;31
18;из них:                инвалиды;37;;;;;2;1;6;1;;1;10;2;14
19;дети-инвалиды;61;;;;;;3;5;3;16;19;7;5;3
20;инвалиды (кроме учтенных в строке 18);66;;;;;1;2;;8;9;9;21;10;6
21;дети-инвалиды (кроме учтенных в строке 19);54;;;;;3;;1;1;8;21;11;7;2
22;дети-сироты и дети, оставшиеся без попечения родителей;435;3;;;;13;4;9;52;182;59;59;28;26
23;из них воспитанники (без приходящих учащихся);;;;;;;;;;;;;;
