;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников всего;Выбыло работников из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 40, 41);2810512.37;2708273.6;2592183.36;2116795;260974;44233;89482;256900;235295;2120868;36248
2;в том числе:       руководящие работники – всего;158041.84;155311.91;152901.97;150346;11343;394;6109;12986;11613;148446;1424
3;из них:             директор;40440.25;39976.29;39579.64;39880;2106;21;1194;2466;2122;40221;224
4;заместители директора;104987.76;102465.15;100141.53;96622;7767;270;4114;8459;7556;96901;969
5;руководитель филиала;2206.58;2164.53;2111.88;2114;190;8;104;222;193;2076;24
6;педагогические работники - всего (сумма строк 07, 28,29, 33-39);1793357.59;1730402.7;1654012.17;1291969;151418;17707;75021;139053;129063;1303855;18975
7;в том числе:             учителя–всего (сумма строк 08-18, 22-27);1439441.98;1394612.81;1338143.57;1056777;108733;12293;58113;100574;94317;1064619;9820
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;379522.69;370977.16;362983.88;300835;27481;6589;11804;21004;19660;307393;1684
9;русского языка и литературы;175203.33;169685.36;164205.86;124893;11257;430;6727;11304;10602;124900;879
10;языка народов России и литературы;23157.33;22542.52;21445.44;18457;1246;81;836;1373;1271;18298;202
11;истории, экономики, права, обществознания;90778.96;88069.32;84293.77;65283;7401;213;4654;6906;6502;65646;363
12;информатики и ИКТ;38968.8;37702.19;35400.6;28582;3669;252;2128;3397;3162;28704;369
13;физики;41684.31;40467.21;37915.15;32606;3364;77;2072;3565;3357;32437;424
14;математики;141243.44;136514.84;131567.45;98638;9642;245;5797;9874;9289;98399;891
15;химии;29065.28;28320.32;26361.02;25106;2319;41;1456;2477;2318;24928;272
