;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма гр.4,6,8,10,12,14,16,18,20,22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 45–49 всего;Число полных лет  по состоянию на 1 января 20_ года 45–49 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 50–54 всего;Число полных лет  по состоянию на 1 января 20_ года 50–54 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 55–59 всего;Число полных лет  по состоянию на 1 января 20_ года 55–59 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 60–64 всего;Число полных лет  по состоянию на 1 января 20_ года 60–64 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 65 и более всего;Число полных лет  по состоянию на 1 января 20_ года 65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 40, 41);2120868;90199;74293;152553;122605;187962;158446;216450;188487;279566;247177;320397;282368;305843;259349;285172;231440;171757;134110;110969;84577
2;в том числе:       руководящие работники – всего;148446;662;453;4231;2928;9382;7230;15264;12959;24581;21836;30810;27527;25431;22166;22045;18429;10896;8676;5144;3899
3;из них:             директор;40221;32;21;455;173;1392;698;2759;1844;5666;4377;8783;7195;7894;6314;7393;5536;3881;2764;1966;1351
4;заместители директора;96901;556;374;3389;2418;6947;5574;10884;9595;17091;15698;20230;18620;15720;14132;13029;11392;6223;5184;2832;2226
5;руководитель филиала;2076;14;8;46;32;125;102;190;160;335;293;408;356;421;361;330;269;147;114;60;48
6;педагогические работники - всего (сумма строк 07, 28,29, 33-39);1303855;71868;61282;113377;92994;121217;105139;131753;118927;173482;159945;204139;189297;180778;163917;159279;141568;90010;77965;57952;48377
7;в том числе:             учителя–всего (сумма строк 08-18, 22-27);1064619;57117;48226;90441;72491;92932;78935;101520;90421;139889;128236;171933;159193;152698;138111;134914;119446;75930;65563;47245;39326
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;307393;19845;19566;19388;19127;22155;21969;28613;28433;48795;48564;67811;67575;47298;47122;33033;32863;13390;13282;7065;6949
9;русского языка и литературы;124900;4290;4123;8453;8121;8758;8484;10864;10622;16974;16731;19883;19637;18471;18201;18030;17721;11604;11376;7573;7355
10;языка народов России и литературы;18298;551;521;1232;1143;1959;1866;2481;2403;3443;3351;2755;2673;2468;2388;1894;1814;935;873;580;460
