;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;44944
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;43746
3;Коллегиальные органы управления;43312
4;в том числе:       общее собрание;35452
5;педагогический совет;42435
6;попечительский совет;6131
7;управляющий совет;20395
8;наблюдательный совет;3425
9;другие;9705
10;Советы обучающихся;32412
11;Советы родителей;33216
12;Профессиональные союзы работников;36959
13;из строки 03 с участием общественности (родителей, работодателей);32911
