;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование образовательных программ;Численность обучающихся по образовательным программам - всего, человек;Сетевая форма реализации образовательных программ численность обучающихся (из графы 3) по программам, реализуемым с использованием сетевой формы - всего;Сетевая форма реализации образовательных программ число органи-заций, с которыми заключены дого-воры на реализа-цию образователь-ных программ с использованием сетевой формы, единиц;Электронное обучение численность обучающихся (из графы 3) с применением электронного обучения;Электронное обучение в том числе (из графы 6) с применением исключительно электронного обучения;Дистанционные образовательные технологии численность обучающихся (из графы 3) с применением дистанционных образовательных технологий;Дистанционные образовательные технологии в том числе (из графы 8) с применением исключительно дистанционных образовательных технологий
1;Образовательные программы начального общего образования;6968760;88654;1508;1069196;2202;243878;1667
2;из них адаптированные;173594;2703;328;29859;98;5392;358
3;в том числе:           для глухих;2624;;;332;;35;1
4;для слабослышащих и позднооглохших;5158;135;7;585;;117;3
5;для слепых;1089;5;;56;;42;6
6;для слабовидящих;9126;213;13;1441;1;280;13
7;с тяжелыми нарушениями речи;36175;563;47;11415;3;953;27
8;с нарушениями опорно-двигательного аппарата;9376;139;45;1132;6;762;196
9;с задержкой психического развития;105335;1600;209;13985;87;3021;98
10;с расстройствами аутистического спектра;4711;48;7;913;1;182;14
11;Образовательные программы основного общего образования;7358315;143244;2996;1134103;2679;290832;3826
12;из них адаптированные;176590;3125;553;21112;101;6814;924
13;в том числе:           для глухих;3179;;;389;;42;1
14;для слабослышащих и позднооглохших;5264;132;4;780;;148;13
15;для слепых;1045;8;2;88;;62;9
16;для слабовидящих;7756;156;13;606;1;345;66
17;с тяжелыми нарушениями речи;8953;45;16;1548;2;185;28
18;с нарушениями опорно-двигательного аппарата;7361;236;133;933;26;1177;496
19;с задержкой психического развития;141847;2544;383;16536;72;4759;304
20;с расстройствами аутистического спектра;1185;4;2;232;;96;7
21;Образовательные программы среднего общего образования;1440951;51930;2232;254139;539;69905;1134
22;из них адаптированные;4109;87;41;623;9;553;213
23;в том числе:           для глухих;368;7;;74;;16;
24;для слабослышащих и позднооглохших;401;1;1;115;;22;4
25;для слепых;262;6;;11;;14;
26;для слабовидящих;732;12;4;95;;45;20
27;с тяжелыми нарушениями речи;74;9;6;9;;16;9
28;с нарушениями опорно-двигательного аппарата;1062;43;23;176;8;321;141
29;с задержкой психического развития;1162;9;7;128;1;109;39
30;с расстройствами аутистического спектра;48;;;15;;10;
31;Программы образования обучающихся с умственной отсталостью (интеллектуальными нарушениями);245543;3228;252;17305;429;4377;661
32;Справка 1.  Из общей численности обучающихся (из графы 3 подраздела 1.3.) – лица, имеющие кохлеарные импланты и обучающиеся по программам:    начального общего образования (из стр. 01);7995;;;;;;
33;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;1011;;;;;;
34;основного общего образования (из строки 11);9642;;;;;;
35;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;885;;;;;;
36;среднего общего образования (из строки 21);2065;;;;;;
37;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;34;;;;;;
38;образования обучающихся с умственной отсталостью    (интеллектуальными нарушениями) (из строки 31);15176;;;;;;
39;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;2634;;;;;;
