;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52
№ строки;Наименование показателя;Всего (сумма граф 4-47);Программы начального общего образования с нормативным сроком обучения 4 года 1-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 2-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 3-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 4-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 5 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 2 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 2 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс второго года обучения;Из общей численности обучающихся (из гр. 3): лица с ограниче- нными возможно- стями здоровья;Из общей численности обучающихся (из гр. 3): из них: инвалиды;Из общей численности обучающихся (из гр. 3): из них: дети-инвалиды;Из общей численности обучающихся (из гр. 3): инвалиды  (кроме учтенных в гр. 49);Из общей численности обучающихся (из гр. 3): дети-инвалиды  (кроме учтенных в гр. 50)
1;Число классов для глухих, ед.;1106;6;3;4;20;45;59;37;63;15;11;61;12;12;37;39;44;17;21;19;18;18;37;17;8;48;11;7;65;15;5;69;12;12;54;52;72;25;26;3;;;2;3;2;;;;;
2;В них обучающихся, чел.;5953;32;20;21;118;241;310;211;335;74;35;340;99;68;200;207;237;89;102;99;109;103;196;98;51;250;68;38;337;78;28;358;64;72;279;288;388;122;145;16;;;10;9;8;4533;284;4150;;5
3;Число классов для слабослышащих и позднооглохших, ед.;1435;20;24;19;34;65;59;35;90;23;9;92;20;10;49;55;62;17;14;15;17;14;61;27;11;89;18;9;77;15;11;83;19;19;38;67;89;21;28;;4;1;2;3;;;;;;
4;В них обучающихся, чел.;8852;162;161;131;223;370;390;222;523;127;47;547;136;59;283;325;386;111;98;94;124;71;400;166;74;536;124;55;499;106;72;475;125;115;222;440;557;108;127;;34;6;7;14;;6597;269;5765;;78
5;Число классов для слепых, ед.;289;5;7;7;17;10;13;6;21;1;;15;2;1;9;1;2;5;9;12;9;5;18;;;13;;;19;;;17;;;4;16;12;15;14;1;;;1;;2;;;;;
6;В них обучающихся, чел:       cлепых;1236;14;11;22;58;62;40;27;107;2;;84;16;10;55;7;12;20;30;37;31;29;70;;;55;;;86;;;71;;;21;66;58;63;68;;;;;;4;1004;79;878;;
7;слабовидящих и поздноослепших;535;19;11;16;34;7;25;20;32;;;30;;;20;;;2;17;13;22;6;38;;;22;;;24;;;32;;;5;52;27;21;19;8;;;7;;6;338;9;202;;
8;Число классов для слабовидящих и поздноослепших, ед.;1608;93;99;111;147;60;24;12;68;11;1;67;9;;13;14;8;45;42;42;36;39;79;2;;94;1;;94;3;;96;3;1;24;76;86;48;46;4;;;7;;3;;;;;
9;В них обучающихся, чел:       слабовидящих и поздноослепших;13919;1032;1103;1161;1504;447;170;84;543;83;4;536;82;;101;136;69;425;393;354;333;285;669;13;;806;7;;782;12;;807;29;14;195;584;683;230;189;17;;;21;;16;9553;144;2870;;
