;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателя;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Число классов с нормативным сроком освоения программ 9 лет, ед.;21140;1468;;;1843;2117;2483;2525;2638;2721;2691;2654;;;
2;В них обучающихся, чел.;159933;8860;;;12196;15673;19356;19333;20778;21454;21348;20935;;;
3;Число классов с нормативным сроком освоения программ 10 лет, ед.;2085;;336;280;301;160;145;132;140;144;140;141;166;;
4;В них обучающихся, чел.;15882;;2068;1736;2288;1249;1262;1110;1194;1306;1209;1220;1240;;
5;Число классов с нормативным сроком освоения программ 12 лет, ед.;2495;279;;;241;260;191;190;181;199;201;202;268;238;45
6;В них обучающихся, чел.;20231;1788;;;1787;2239;1583;1663;1642;1765;1784;1680;2197;1832;271
7;Число классов с нормативным сроком освоения программ 13 лет, ед.;975;;218;188;226;120;44;26;31;29;26;31;19;13;4
8;В них обучающихся, чел.;6771;;1315;1279;1695;842;323;186;233;222;185;243;116;106;26
9;Итого классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями), ед. (сумма стр. 01, 03, 05, 07);26695;1747;554;468;2611;2657;2863;2873;2990;3093;3058;3028;453;251;49
10;В них обучающихся, чел. (сумма стр. 02, 04, 06, 08);202817;10648;3383;3015;17966;20003;22524;22292;23847;24747;24526;24078;3553;1938;297
11;из них (из строки 10):       воспитанники (без приходящих учащихся);47072;2524;501;392;3760;4370;4956;5288;5702;5991;5966;5703;1173;663;83
12;девочки;70542;3620;1068;977;6149;6955;7843;7882;8306;8619;8468;8469;1315;753;118
13;лица с ограниченными возможностями здоровья;197399;10403;3359;2961;17324;19537;21998;21643;23218;24035;23839;23387;3486;1913;296
14;из них (из стр.13):             инвалиды;3058;164;31;26;243;208;318;171;289;256;290;428;199;324;111
15;дети-инвалиды;91614;6499;2627;2261;10030;10081;10457;9011;9649;9774;9354;9283;1767;714;107
16;инвалиды (кроме учтенных в строке 14);154;10;;;2;12;13;15;8;13;46;29;;5;1
17;дети-инвалиды (кроме учтенных в строке 15);1572;76;16;42;327;132;122;192;156;156;166;149;21;17;
18;дети-сироты и дети, оставшиеся без попечения родителей;15937;572;369;180;1529;1750;1453;1253;1661;1906;2069;2298;574;284;39
19;из них воспитанники (без приходящих учащихся);5697;270;104;32;271;342;355;449;628;772;928;989;342;182;33
