;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
1;2;3;4;5;6;7;8
№ строки;Наименование показателей;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования (1–4 классы);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования (5–9 классы);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования (10–11(12) классы);Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы начального общего образования;Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы основного общего образования;Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы среднего общего образования
1;Численность обучающихся, которым в соответствии с образовательной программой должны преподаваться иностранные языки (сумма стр. 02, 13);515;9340;22962;;8;6
2;В том числе обучающиеся, которым:       преподается иностранный язык (не менее одного);515;9321;22873;;7;6
3;из них изучают язык:             английский;482;8317;20420;;7;6
4;французский;;115;345;;;
5;немецкий;33;1257;2110;;;
6;итальянский;;;;;;
7;испанский;;;;;;
8;китайский;;;;;;
9;арабский;;;;;;
10;португальский;;;;;;
11;турецкий;;;;;;
12;другие;;;;;;
13;не преподается иностранный язык;;19;89;;1;
14;из строки 13 – из-за отсутствия учителя иностранного языка;;19;86;;;
15;Из строки 02 – изучают:             2 иностранных языка;;462;2;;;
16;3 и более иностранных языка;;;;;;
