;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Код  профессии (при наличии);Всего  обучено за период с 20.09. прошлого года по 19.09. текущего года (сумма гр. 5–10);В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований федерального бюджета;В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований бюджета субъекта Российской Федерации;В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований местного бюджета;В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств лиц, зачисляе- мых на обуче- ние (родителей (законных пре- дставителей) несовершенно- летних обучающихся);В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств иных физических лиц;В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств юридических лиц;Из общей численности обученных (из гр. 4) девушки;Из общей численности обученных (из гр. 4) прошли ускоренное обучение по индивидуальным учебным планам;Из общей численности обученных (из гр. 4) лица с ограниченными возможностями здоровья;Из общей численности обученных (из гр. 4) из них (из гр. 13): инвалиды;Из общей численности обученных (из гр. 4) из них (из гр. 13): дети-инвалиды;Из общей численности обученных (из гр. 4) инвалиды  (кроме учтенных в гр. 14);Из общей численности обученных (из гр. 4) дети-инвалиды (кроме учтенных в гр. 15)
1;Программы профессиональной подготовки по профессиям рабочих, должностям служащих – всего;;29121;2093;20372;5355;1014;269;18;11996;163;667;112;137;106;46
2;Аккумуляторщик;10047;9;;9;;;;;8;;;;;;
3;Водитель автомобиля;11442;4613;114;2675;1068;610;146;;1661;8;6;1;4;1;7
4;Водитель вездехода;11447;100;;;100;;;;44;;;;;;
5;Водитель мототранспортных средств;11451;35;1;28;6;;;;3;;;;;;
6;Водитель погрузчика;11453;28;;14;14;;;;21;;;;;;
7;Вышивальщица;11583;23;11;10;;2;;;11;;;;;;
8;Гончар;11693;7;;7;;;;;;;;;;;
9;Горничная;11695;42;;32;10;;;;26;;;;;;
10;Дворник;11786;6;6;;;;;;3;;6;;6;;
11;Декоратор витрин;11811;32;;32;;;;;28;;1;;;;
12;Животновод;11949;32;8;24;;;;;18;;1;;;;
13;Замерщик на топографо-геодезических и маркшейдерских работах;12192;16;;16;;;;;6;;;;;1;
14;Заправщик поливомоечных машин;12212;11;11;;;;;;;;;;;;
15;Земледел;12264;4;;4;;;;;3;;4;4;;;
16;Изготовитель художественных изделий из бересты;12476;27;21;6;;;;;22;;6;3;1;;
17;Изготовитель художественных изделий из дерева;12478;16;11;5;;;;;11;;;;;;1
18;Изготовитель художественных изделий из керамики;12480;24;24;;;;;;22;;;;;;
19;Изготовитель художественных изделий из металла;12485;1;1;;;;;;;;;;;;
20;Исполнитель художественно-оформительских работ;12565;345;23;229;93;;;;243;;2;1;;14;1
21;Каменщик;12680;67;;16;51;;;;8;;;;;;
22;Каменщик (печник) дежурный у печей;12682;25;;7;18;;;;3;;;;;;
23;Кассир билетный;12719;8;;8;;;;;8;;;;;;
24;Кондитер;12901;253;44;156;53;;;;135;;;;;;
25;Косметик;13138;43;13;30;;;;;42;;;;;1;
26;Кроликовод;13205;9;;9;;;;;9;;;;;;
27;Курьер;13247;28;;;28;;;;;;;;;;
28;Лаборант-микробиолог;13265;29;;29;;;;;19;;;;;;
29;Лаборант по физикомеханическим испытаниям;13302;8;;;8;;;;3;;;;;;
30;Лаборант химического анализа;13321;373;3;312;58;;;;271;;;;;3;
31;Лесовод;13376;29;;29;;;;;14;;;;;;
32;Маляр;13450;134;;126;8;;;;38;;68;18;8;19;
33;Маникюрша;13456;127;1;90;14;22;;;126;;10;1;1;1;
34;Модистка головных уборов;14504;7;7;;;;;;;;;;;;
35;Монтажник оборудования связи;14601;4;;4;;;;;;;;;;;
36;Монтажник по монтажу стальных и железобетонных конструкций;14612;21;4;17;;;;;2;;;;;;
37;Монтажник приборов и аппаратуры автоматического контроля, регулирования и управления;14614;12;;12;;;;;3;;;;;;
38;Монтажник радиоэлектронной аппаратуры и приборов;14618;37;2;20;15;;;;1;;1;;;5;
39;Наладчик технологического оборудования;14995;23;;23;;;;;4;;;;;;
40;Няня;15135;29;;28;1;;;;26;;;;;;
41;Облицовщик-плиточник;15220;29;;28;;1;;;;;;;;;
42;Обработчик рыбы и морепродуктов;15341;6;;6;;;;;3;;;;;;
43;Обработчик справочного и информационного материала;15349;27;;;27;;;;;;;;;;
44;Обувщик по ремонту обуви;15398;5;;5;;;;;5;;;;;;
45;Оператор станков с программным управлением;16045;30;;30;;;;;6;;;;;;
46;Оператор установки изготовления гофрированных листовых стеклопластиков;16119;29;23;6;;;;;4;;;;;;
47;Оператор швейного оборудования;16185;25;;25;;;;;25;;25;14;4;;
48;Оператор электронно-вычислительных и вычислительных машин;16199;7208;719;5688;785;16;;;2507;119;43;;8;16;12
49;Официант;16399;115;;115;;;;;59;;;;;;2
50;Парикмахер;16437;470;55;270;130;7;8;;405;;11;2;4;;
51;Пекарь;16472;72;5;39;28;;;;30;;;;;;
52;Переплетчик;16519;5;;5;;;;;;;5;2;2;;
53;Пирометрист;16608;4;;4;;;;;;;;;;;
54;Плотник;16671;74;20;44;10;;;;;;17;5;2;;
55;Повар;16675;1229;66;799;364;;;;665;;56;3;8;5;
56;Подсобный рабочий;16771;2;;2;;;;;;;;;;;
57;Пожарный;16781;28;;28;;;;;14;;;;;;
58;Портной;16909;92;7;40;45;;;;84;3;12;;6;;
59;Приготовитель напитков;17192;5;;;5;;;;5;;;;;;
60;Проводник пассажирского вагона;17334;32;;32;;;;;14;;;;;;
;;17530;41;16;25;;;;;17;;;;;;
;;17542;16;;16;;;;;6;;;;;;
;;17543;16;9;;7;;;;2;;;;;;
;;17546;10;;10;;;;;1;;;;;;
;;17556;10;;10;;;;;2;;;;;;
;;17863;14;14;;;;;;;;;;;;
;;18103;43;;43;;;;;17;;22;6;7;;
;;18165;6;;6;;;;;;;6;2;;;
;;18340;13;;13;;;;;;;13;1;2;;
;;18466;26;6;6;14;;;;;;;;;;
;;18511;919;17;710;174;18;;;14;;10;;;4;1
;;18526;27;;27;;;;;;;;;;;
;;18545;10;10;;;;;;;;;;;;
;;18559;43;;43;;;;;;;15;;2;;
;;18560;15;;15;;;;;;;2;1;;;
;;18590;1;;;1;;;;;;;;;;
;;18783;11;;11;;;;;;;;;;;
;;18809;12;;;12;;;;4;;;;;;
;;18874;147;40;107;;;;;;;47;13;7;3;
;;18880;75;6;51;18;;;;;;35;1;9;;
;;19149;104;23;74;7;;;;4;;19;;4;;
;;19203;2235;167;1504;388;111;47;18;232;24;9;;6;;4
;;19205;329;41;173;80;35;;;19;;3;;;;1
;;19213;2;;2;;;;;;;;;;;
;;19258;10;;10;;;;;6;;10;10;;;
;;19441;7;;7;;;;;7;;7;4;3;;
;;19460;288;;288;;;;;195;;;;;1;
;;19520;39;;20;19;;;;30;;1;;1;;
;;19522;5;;3;2;;;;4;;;;;;
;;19525;59;16;16;27;;;;58;;7;;;;
;;19601;831;71;409;351;;;;710;;41;4;12;;1
;;19727;187;50;125;12;;;;77;;18;;4;;2
;;19756;35;;;35;;;;;;;;;;
