;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателя;Всего сумма граф 4 - 16;В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;И графы 3 инвалиды;И графы 3 дети-инвалиды
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;69;;;;1;;6;8;7;20;15;3;2;7;;
2;В них обучающихся (всего), чел.;948;;;;11;;86;54;87;273;226;77;27;107;;
3;из них (из стр.02) лица с ограниченными       возможностями здоровья:          глухие;2;;;;;;1;1;;;;;;;1;1
4;слабослышащие;5;;;;;;;;1;1;1;;1;1;2;3
5;позднооглохшие;;;;;;;;;;;;;;;;
6;слепые;;;;;;;;;;;;;;;;
7;слабовидящие;2;;;;;;;;;;1;;;1;2;
8;с тяжелыми нарушениями речи;;;;;;;;;;;;;;;;
9;с нарушением опорно-двигательного аппарата;5;;;;;;1;1;;;3;;;;1;4
10;с задержкой психического развития;61;;;;1;;8;7;9;22;3;10;1;;;
11;с умственной отсталостью (интеллектуальными          нарушениями);63;;;;;;21;18;9;15;;;;;2;5
12;с расстройствами аутистического спектра;2;;;;;;;1;;;1;;;;1;1
13;со сложными дефектами;25;;;;;;17;8;;;;;;;;1
14;с иными ограниченными возможностями          здоровья;40;;;;;;3;4;4;9;13;1;;6;11;8
