;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
№ строки;Наименование показателей;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Всего (сумма гр. 9–11);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них лица с ограни- ченными возможностя- ми здоровья;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них из гр. 4 инвалиды;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них из гр. 4 дети-инвалиды;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них инвалиды (кроме учтенных в гр. 5);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них дети-инвалиды (кроме учтенных в гр. 6);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались очно;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались очно-заочно;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались заочно;Классы для обучающихся с ограниченными возможностями здоровья Всего;Классы для обучающихся с ограниченными возможностями здоровья из них лица с ограни- ченными возможностя- ми здоровья;Классы для обучающихся с ограниченными возможностями здоровья из них из гр. 13 инвалиды;Классы для обучающихся с ограниченными возможностями здоровья из них из гр. 13 дети-инвалиды;Классы для обучающихся с ограниченными возможностями здоровья из них инвалиды (кроме учтенных в гр. 14);Классы для обучающихся с ограниченными возможностями здоровья из них дети-инвалиды (кроме учтенных в гр. 15);Итого по всем классам (сумма гр. 3, 12);Кроме того, численность экстернов;из них лица с ограни- ченными возможностя- ми здоровья;из них из гр. 20 инвалиды;из них из гр. 20 дети-инвалиды;из них инвалиды (кроме учтенных в гр. 21);из них дети-инвалиды (кроме учтенных в гр. 22)
1;Численность обучающихся (гр. 3–18) и экстернов (гр. 19–24), допущенных к государственной итоговой аттестации (ГИА) по образовательным программам основного общего образования (сумма стр. 02, 04, 05);6629;176;5;21;16;10;2408;35;4186;80;2;2;;;;6709;9;2;;;;1
2;в том числе:       получили аттестат об основном общем образовании;5974;163;4;20;16;10;2353;34;3587;80;2;2;;;;6054;8;2;;;;1
3;из них (из стр. 02) продолжили обучение по образовательной          программе среднего общего образования в данной организации;2035;19;2;1;11;;795;5;1235;;;;;;;2035;;;;;;
4;получили на ГИА неудовлетворительные результаты;479;9;1;;;;48;1;430;;;;;;;479;1;;;;;
5;не участвовали в ГИА;176;4;;1;;;7;;169;;;;;;;176;;;;;;
6;Из строки 02 получили аттестат об основном общем образовании:    с отличием;173;3;;2;;;142;;31;;;;;;;173;;;;;;
7;в IV квартале прошлого года;666;24;;4;;;410;;256;;;;;;;666;1;;;;;
8;после 1 сентября текущего года;562;6;;;;;88;16;458;;;;;;;562;;;;;;
9;Численность обучающихся (гр. 3–18) и экстернов (гр. 19–24), допущенных к ГИА по образовательным программам среднего общего образования (сумма строк 10–12);6961;31;8;5;16;6;1032;39;5890;50;;;;;;7011;24;;;;;
10;в том числе:       получили аттестат о среднем общем образовании;6097;21;4;5;12;6;1008;34;5055;50;;;;;;6147;21;;;;;
11;получили на ГИА неудовлетворительные результаты;640;9;4;;3;;19;4;617;;;;;;;640;3;;;;;
12;не участвовали в ГИА;224;1;;;1;;5;1;218;;;;;;;224;;;;;;
13;Из строки 10 получили аттестат о среднем общем образовании:    с отличием и медаль «За особые успехи в учении»;126;;;;;;103;;23;;;;;;;126;;;;;;
14;в IV квартале прошлого года;282;;;;;1;138;1;143;;;;;;;282;;;;;;
15;после 1 сентября текущего года;160;3;;;;;5;1;154;;;;;;;160;2;;;;;
16;Из общей численности участвовавших в ГИА (из суммы строк 10 и 11)    участвовали в едином государственном экзамене (ЕГЭ)*;4886;25;4;4;7;4;934;25;3927;50;;;;;;4936;22;;;;;
17;участвовали в ЕГЭ по русскому языку (из стр. 16);4712;23;3;3;7;4;834;24;3854;;;;;;;4712;18;;;;;
18;из них сдали ЕГЭ;4498;20;3;3;5;4;820;24;3654;;;;;;;4498;18;;;;;
19;участвовали в ЕГЭ по математике (из строки 16);4753;24;3;3;7;4;820;25;3908;;;;;;;4753;21;;;;;
20;из них сдали ЕГЭ;4131;20;3;2;4;4;796;21;3314;;;;;;;4131;16;;;;;
21;участвовали в ГИА в иной (кроме ЕГЭ) форме*;1851;5;4;1;8;2;93;13;1745;;;;;;;1851;2;;;;;
22;Выпущено лиц, не получивших основного общего и среднего общего образования, со свидетельством об обучении;287;31;2;5;;;51;3;233;27;27;;3;;;314;3;1;1;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;;;;;;;;;;;;;;;;;
