;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателя;Всего  (сумма гр. 4–10);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из гр. 3 – лица в возрасте 18 лет и старше
1;Выбыло обучающихся – всего (сумма стр. 02, 05, 08–13);1064548;420720;507304;109848;7455;6636;467;12118;8096
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;20218;8111;8981;1637;652;566;4;267;67
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;3002;923;1316;417;149;117;3;77;44
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;2561;1652;880;29;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;940191;405820;459847;54166;6616;4992;152;8598;1692
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;23425;9070;11461;1307;587;430;16;554;39
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;8392;5412;2813;167;;;;;2
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;32958;83;12384;19907;;422;162;;408
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;32671;;9618;22716;;289;48;;487
10;в связи с переходом на семейное образование и самообразование;8747;2641;4323;1528;36;57;5;157;115
11;по болезни;446;128;67;147;2;5;5;92;50
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;4672;12;3045;1511;;39;16;49;776
13;выбыло по другим причинам;24645;3925;9039;8236;149;266;75;2955;4501
14;Численность обучающихся на начало прошлого учебного года (по состоянию на 20 сентября);14927072;;;;;;;;
