;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Программы начального общего образования (1–4 классы);Программы основного общего образования (5–9 классы);Программы среднего общего образования (10–11(12) классы)
1;Численность обучающихся, углубленно изучающих предметы (не менее одного);272923;914502;350526
2;В том числе по профилям обучения:       гуманитарный – всего;200443;463195;102697
3;из них с изучением языков:             английского;156676;322060;69378
4;французского;8659;25278;5035
5;немецкого;11069;35536;5955
6;других европейских;3671;8002;1630
7;восточных;1076;7158;1276
8;естественнонаучный;6477;75274;49607
9;социально-экономический;29;21951;49616
10;технологический;1866;32974;37536
11;технический;950;14126;8577
12;сельскохозяйственный;512;3503;1143
13;математический;25469;178407;35283
14;другие;25122;112516;79000
