;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателей;Численность обучающихся по программам: начального общего образования – всего;Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся 1-го класса или 1-го класса первого года обучения по пролонгиро-ванным программам;Численность обучающихся по программам: основного общего образования – всего;Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся 5-го класса или 5-го класса первого года обучения по пролонгиро-ванным программам;Численность обучающихся по программам: среднего общего образования – всего;Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся 10-го класса или 10-го класса первого года обучения по пролонгиро-ванным программам;Численность обучающихся по программам: образование обучающихся с умственной отсталостью (интеллекту-альными нарушениями);Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся первого года обучения
1;Всего;;;;3;2;;6;3;3;2;;
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;;;;;;;;;;
3;6 лет;;;;;;;;;;;;
4;7 лет;;;;;;;;;;;;
5;8 лет;;;;;;;;;;;;
6;9 лет;;;;;;;;;;1;;
7;10 лет;;;;;;;;;;;;
8;11 лет;;;;;;;;;;;;
9;12 лет;;;;;;;;;;;;
10;13 лет;;;;;;;;;;1;;
11;14 лет;;;;;;;;;;;;
12;15 лет;;;;;;;;;;;;
13;16 лет;;;;;;;;;;;;
14;17 лет;;;;;;;1;1;1;;;
15;18 лет;;;;1;1;;2;;1;;;
16;19 лет;;;;1;1;;1;1;;;;
17;20 лет;;;;;;;1;1;;;;
18;21 год;;;;;;;;;;;;
19;22 года;;;;;;;;;;;;
20;23 года;;;;;;;;;;;;
21;24 года;;;;;;;;;;;;
22;25 лет;;;;;;;;;;;;
23;26 лет;;;;;;;;;;;;
24;27 лет;;;;;;;;;;;;
25;28 лет;;;;;;;;;;;;
26;29 лет;;;;;;;;;;;;
27;30–34 года;;;;;;;;;;;;
28;35–39 лет;;;;1;;;1;;1;;;
29;40 лет и старше;;;;;;;;;;;;
